"","Gene.symbol","logFC","P.Value"
"7917548","GBP7",0.405892835164835,6.47217627650273e-06
"7985777","ISG20",0.368816469780219,5.4744653233259e-05
"7906435","ACKR1",1.01077876648351,6.40171606035848e-05
"7960370","CRACR2A",0.357486266483515,0.000102547129802887
"8168470","COX7B",-0.632431013736267,0.000104346286929017
"7957746","SLC25A3",-0.224133461538473,0.000108829638016606
"8138602","DFNA5",-0.420957271978026,0.000151302460519855
"8023063","ATP5A1",-0.258728653846157,0.000187507165407014
"8157638","MRRF",-0.259017695054947,0.000212188046286179
"7978366","GZMB",0.478375659340658,0.00021477281651193
"8047265","C2orf69///C2orf47",-0.318131211538461,0.000222982896581078
"7903972","ATP5F1",-0.258487293956048,0.000239265205755196
"8178199","HLA-DQA2///HLA-DQA1",0.744757142857138,0.000243824562863076
"8179489","HLA-DQA2///HLA-DQA1",0.744757142857138,0.000243824562863076
"8138337","AGMO",-0.728405453296701,0.000250105405543558
"8071411","POM121L4P",0.322414994505493,0.000252749344170166
"7914516","MTMR9LP",0.263454456043953,0.000258553972417075
"7931899","IL15RA",0.366216513736262,0.000277573897681617
"7981726","",0.817068401098902,0.000284426494312816
"7942279","FAM86C1",-0.264938576923076,0.000289656510146143
"7922095","MPC2",-0.253998123626372,0.000305985011874231
"8017599","PECAM1",0.428800027472526,0.000321440031689531
"7946288","ZNF214",-0.32952405769231,0.000322001512982712
"7971482","",0.530605560439561,0.000339056334742243
"8114511","MZB1",0.701533271978017,0.000415734724094301
"8000323","NDUFAB1",-0.33124382967033,0.000465660752028764
"7914940","MRPS15",-0.209077840659338,0.000486216267126796
"8073072","APOBEC3D",0.324425178571421,0.000501190604180973
"7951672","PIH1D2",-0.478712700549452,0.000502909734824725
"7921677","CD244",0.590014532967032,0.000528328790858022
"8070330","PSMG1///PSMG1",-0.178808282967035,0.000529768106394
"7935627","GOT1",-0.325632967032965,0.000539409849808526
"8178811","LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1",0.455183653846152,0.000558053443531026
"7903854","SLC6A17",-0.304462329670333,0.000566125890652613
"8180003","LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1",0.470768543956041,0.000582735042490414
"8065196","",0.484778280219779,0.000585389761549289
"7921332","CD5L",0.994122247252746,0.000587408036162454
"8002041","ATP6V0D1",-0.229091208791214,0.000587827160660186
"8129974","FUCA2",-0.26472941483517,0.000600513547846887
"8123644","TUBB2A",-0.238765840659341,0.00061100064087046
"7918008","DBT",-0.321615445054949,0.000622835331313016
"7916219","COA7",-0.34430215659341,0.000628468749105807
"8132660","RAMP3",0.316969958791205,0.000632202789970283
"8128626","PDSS2",-0.378042071428575,0.00064056831484606
"7955277","TMBIM6",-0.23982098901099,0.000652798871694092
"8046147","BBS5",-0.318820895604398,0.000660445893135343
"8050115","LINC00299",0.333544854395602,0.000666851339782866
"7924092","SLC30A1",-0.305431123626379,0.000678624684436302
"8074944","DERL3",0.55894036263736,0.000690146939060893
"8095628","ALB",-1.53130491758242,0.000692161098873034
"8027778","FXYD5",0.46503442307692,0.000701691672578566
"8178802","LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1",0.490234175824172,0.000715199466128143
"7954961","",0.232121458791207,0.00071746837715226
"7902104","PDE4B",0.333145041208788,0.000723813983474262
"8103289","PLRG1",-0.356779629120883,0.00072486484522013
"8068857","NDUFV3",-0.220254445054946,0.000725966302651788
"7939102","ELP4",-0.381156230769236,0.000727510822910747
"8070257","PIGP",-0.254308362637362,0.000728833124252102
"8120057","",0.479006824175823,0.000732295149672274
"8043484","IGKC",1.02929572527473,0.000733243640255186
"8127542","",0.320915810439557,0.00073979883235189
"7937465","TALDO1",-0.17792717582418,0.000758366938716518
"8085714","",0.428190060439557,0.000773941664426312
"7921900","SH2D1B",0.893439728021978,0.000786582555672942
"7960730","LPCAT3",-0.277445961538465,0.000789987235617723
"7954591","MRPS35",-0.328822609890109,0.000791464025678009
"8049478","COPS8",-0.282482552197806,0.000831165102142566
"8177717","HLA-F///HLA-B",0.432324109890109,0.000858985506055442
"7981157","LINC00341",0.318838109890111,0.000862065874890628
"7966257","",0.235793395604391,0.000870766662983024
"8179019","HLA-F///HLA-B",0.436595414835162,0.000876415632279646
"8102321","PLA2G12AP1///PLA2G12A",-0.238184500000004,0.000891691544114962
"8071597","",0.809464065934062,0.000899495014722203
"8124134","TPMT",-0.37594206868132,0.000940801905722446
"8085788","NKIRAS1",-0.430008192307694,0.000949688824428018
"8038202","BCAT2",-0.320268986263738,0.0009500757546217
"8068401","CBR1",-0.247585634615385,0.000959053247040691
"8125234","TNXB///TNXA",0.358462870879118,0.000962062417567242
"8080306","PHF7",-0.256466854395608,0.000965289664099079
"7934161","PRF1",0.663148258241754,0.000974354588736875
"8101131","CXCL11",1.2839382554945,0.000990326441095041
"7951796","NXPE4",0.281342733516483,0.00099747585457696
"7958692","TCTN1",-0.242531390109892,0.00103252805293469
"8146092","IDO1",1.17986818131868,0.00105161018375775
"8001102","",1.15597631043955,0.00106317885104681
"8064581","FASTKD5///UBOX5",-0.260714115384618,0.00107186821639959
"8084887","",0.289726483516484,0.00109280256363744
"8178205","HLA-DQA2///HLA-DQA1",0.645747942307688,0.00110453120853539
"8171313","ARHGAP6",-0.248112524725276,0.00110737601469599
"7960716","PHB2",-0.172341318681324,0.00113215260608117
"8118564","HLA-DQA2///HLA-DQA1",0.639660634615382,0.00113724442688873
"8044049","IL18RAP",0.598434903846154,0.00114047597061946
"7901212","UQCRH",-0.292041837912089,0.00114462687722361
"8180029","HLA-DQB2///HLA-DQB1",0.56896975274725,0.00114978237010703
"8131811","",0.280673700549446,0.00116196750731248
"7915870","ATPAF1",-0.229654670329673,0.00116439015778452
"8068612","WRB",-0.282169351648353,0.00117409180380075
"7919856","CERS2",-0.236959890109896,0.00117816589367741
"7906703","NDUFS2",-0.213064129120879,0.00117943999158609
"8076272","ST13P4///ST13P5///ST13",-0.198700000000001,0.00119255340635572
"8017671","LOC146880",0.223254758241751,0.00119265141648053
"7973797","COCH",-0.396069593406593,0.00119343349101375
"7926385","STAM",-0.24208507967033,0.0012007554831207
"8030339","FLT3LG",0.279106898351646,0.00120195375362371
"8144228","FLJ36840",0.511839684065931,0.00121366231538783
"8105456","SETD9",-0.368684585164836,0.00122049728081641
"7928909","FAM35A",-0.290203637362639,0.00122541000450604
"8059578","",0.372444587912087,0.00122718912442158
"7936100","CALHM2",0.273342101648351,0.0012368213958454
"8119078","",0.242316615384615,0.00127249704340278
"7899753","LCK",0.425353395604396,0.00127739293788887
"8050060","TSSC1",-0.26972131868132,0.00128797942668521
"8053735","IGKC",1.24279086263736,0.00130338101866602
"7980454","ALKBH1",-0.292785340659342,0.00131090518877923
"7974799","MNAT1",-0.302399005494509,0.00131261772430781
"7940600","INCENP",0.160155675824176,0.00131861127164186
"8115147","CD74///ROS1",0.320599945054946,0.00132381808172092
"8011430","ITGAE",0.17793713461538,0.00132542337996832
"8165642","TMEM203",-0.280021873626374,0.00133365212066715
"8035304","BST2",0.4164689010989,0.00133759430905892
"8164269","ENG",0.295724890109886,0.00134210042466348
"8161568","",0.821804381868132,0.0013518215091188
"8124406","HIST1H2BC",-0.31597758791209,0.0013549721768531
"8083968","NLGN1",-0.478691244505496,0.00137457005756168
"8050908","HADHA",-0.23325064835165,0.00139094889884565
"7992396","FAHD1",-0.430049082417584,0.00139370240588228
"8090193","HEG1",0.349566939560441,0.00139881852289205
"7907439","PRDX6",-0.211638406593408,0.00141011184590403
"7934885","RNLS",-0.310204854395609,0.00142102509962482
"7925480","FH",-0.308837233516483,0.0014483583265141
"8161580","",0.861015585164834,0.00145093802241764
"8159945","AK3",-0.22124637087912,0.00146098486671612
"8039829","1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1",0.576960010989011,0.00148224506298122
"8134257","GNG11",0.462223892857141,0.00149275250823963
"8008547","TOM1L1",-0.312028598901099,0.00149421812636547
"7920256","",0.384661153846152,0.00149746660358287
"8043436","IGKC",1.87548715384615,0.00150283124071811
"7986246","",-0.190076686813189,0.00151935173978111
"7925448","",0.298095862637361,0.00152775732491974
"7915363","SCMH1",-0.188256145604399,0.00153275760071282
"8124305","",0.307663109890109,0.00154382660546522
"8031328","1060P11.3///KIR2DS2///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1",0.426569282967029,0.00154720506802216
"8144857","NAT1",-0.238580791208792,0.00155354738996449
"8161563","IGKC",0.916635695054943,0.00157538154226949
"8135363","PIK3CG",0.616476337912085,0.00157785944752925
"8006779","ARHGAP23",0.296359189560438,0.00158668378691523
"8134452","BHLHA15",0.273877423076924,0.0015957804358163
"8125289","TNXB///TNXA",0.491361739010987,0.00161173156703133
"8160258","",0.342371167582416,0.00161934546919404
"8067305","SYCP2",-0.443859118131868,0.0016338842725177
"8122242","PEX7",-0.229751120879124,0.00164781541065897
"7939329","PDHX",-0.273305326923078,0.00165561544470815
"7953901","CLEC12A",0.652252928571428,0.00166086808296091
"8135638","ST7",-0.315062593406596,0.00169790496197469
"8033332","ADGRE4P",0.346363071428568,0.00170515241708226
"8005289","DRC3",-0.358491626373628,0.00173142279616594
"8051119","PPM1G",-0.230273532967036,0.00173251880141336
"8081107","",0.264336458791209,0.00173650021940992
"7957861","ANO4",0.326786326923075,0.00173806251037164
"7950064","FLJ42102",0.314111195054944,0.00174812993956168
"7943288","SRSF8",-0.198102604395606,0.00174813076410736
"8043480","IGKC",1.25112960714285,0.00175602435507035
"8038809","NKG7",0.699121565934061,0.001761743973288
"7971218","KBTBD7",-0.321783098901099,0.00177048562355848
"7937823","KCNQ1",-0.269373574175822,0.0017906891019179
"8019376","DUS1L",-0.266102467032971,0.00179470337370469
"8062461","LBP",-0.677569884615385,0.0017962998845497
"8095535","ENAM",-0.381836931318685,0.00179922068559768
