"","Gene.symbol","logFC","P.Value"
"8027692","ZNF30",0.2929735,0.00110843540174852
"7917548","GBP7",0.427028549999998,0.00151425432904872
"7997933","RPL13",-0.478607875000001,0.0016117906023651
"7974902","RHOJ",0.776433512499997,0.00191342027058127
"8161513","PGM5P2///PGM5",0.527075887500001,0.00210042048804194
"7997504","CDH13",0.914265262500003,0.00225795172477903
"8017599","PECAM1",0.482838500000005,0.00229181663338939
"8103986","LRP2BP",0.357326424999999,0.00295004680825547
"8161520","PGM5P2///PGM5",0.513397362500003,0.00295159716109965
"8021824","",0.303043500000001,0.00325566486697428
"7969977","",-0.3218684125,0.00380117744076417
"8066612","NEURL2",-0.347631424999998,0.00398342932584882
"8112045","ESM1",-0.541677924999999,0.00400282224392879
"7999423","SOCS1",-0.3193748125,0.00446088387345403
"8163535","AMBP",-0.593126237499999,0.00485757088409194
"8089727","",-0.296749949999999,0.00523854282696983
"8082165","KALRN",0.300624937500001,0.00532816382456551
"7998666","SNORA64///RPS2",-0.434761762500001,0.00569451834367385
"8005289","DRC3",-0.4575595375,0.00570697889084028
"8167774","RIBC1",-0.2568071875,0.00585313718076769
"8134257","GNG11",0.666998562500002,0.00594963455821813
"8050766","ADCY3",0.320353450000002,0.0062233218445205
"8155525","",0.2611005,0.00627325886256802
"8161368","",0.2611005,0.00627325886256802
"7969955","METTL21EP",0.465995562500001,0.00667638029645131
"8132960","",-0.3700571125,0.00675233266900897
"8135594","CAV1",0.7664489125,0.00699265317046615
"8172254","CXorf36",0.556984600000002,0.00715063066778398
"8180320","TAS2R45",0.437422287500001,0.00763710068887512
"8107594","SNCAIP",0.5868715125,0.00771097824334907
"8078134","",-0.564805275000001,0.00825381716241588
"7906435","ACKR1",1.0739998125,0.00839792753459168
"8036351","ZNF850",0.267687837500002,0.00843688843830043
"8115679","",-0.501175887500001,0.00848328736648032
"7960730","LPCAT3",-0.309885499999998,0.00913149981715898
"7914516","MTMR9LP",0.315143725,0.00959970340267726
"7959681","DNAH10",-0.3335812125,0.0099611198425795
"7989023","RAB27A",0.572070774999999,0.0102524433524504
"8155665","PGM5",0.695735150000002,0.0102956446614194
"8159965","",0.6846126,0.0103404564630966
"8094701","LOC401127",-0.254483424999999,0.0104814533298371
"8095628","ALB",-1.6271348375,0.0111272039223631
"8116620","",-0.323100137500002,0.0115313956752763
"8090193","HEG1",0.334564412499997,0.0118505208645268
"8067140","CYP24A1",-1.605626325,0.0118818227809014
"7976795","MEG3",-0.657452275,0.0120048879011871
"7911199","GCSAML",0.3183921125,0.0122471544567973
"7897305","ZBTB48",-0.223640175000001,0.0123690655774777
"7927732","ARID5B",-0.355134337499996,0.0123982014054849
"7919815","CTSK",0.526971862500003,0.0124740991543913
"8098723","",0.270149875000001,0.0126829601145167
"8140709","KIAA1324L",0.530520687500001,0.0130109512830287
"7938390","ADM",-0.5783004,0.013198167149377
"8149320","LOC157740",-0.356987824999999,0.0132989548492419
"8035304","BST2",0.4108093125,0.0135835474990939
"8118028","VARS2",-0.285697937499998,0.0136343402503535
"7996260","",-0.9217802625,0.0138011281033895
"8148000","AARD",-0.312820037499998,0.0145821297886056
"7903227","PALMD",0.691182899999998,0.0146078988292981
"7987403","",0.480962462500002,0.0148226815558419
"8152595","",-0.320968924999999,0.015381420809474
"7908161","C1orf21",0.414064775000001,0.0156692023141087
"8019376","DUS1L",-0.356168312499998,0.0157694203950715
"7919856","CERS2",-0.266917625000003,0.0158270226193518
"8005549","GRAPL///GRAP",0.317248737500002,0.0159847531686527
"7898483","ARHGEF10L",-0.284386150000001,0.0160837919761648
"8032347","REXO1",-0.2014202,0.0161393452473667
"8065541","NCOR1P1",0.324404887500001,0.0162599247837241
"7961702","KCNJ8",0.314132112500001,0.0162756181413563
"8026875","SNORA68",0.62566225,0.0163536891849715
"8049544","LRRFIP1",0.454226025000001,0.0164617300288992
"8177901","VARS2",-0.264806087499999,0.0168160647672221
"8084345","AP2M1",-0.316252999999996,0.0169443704343381
"7979031","",0.382374025000002,0.0169643192953857
"8143268","",0.335557412500001,0.0169808174281199
"8118319","",0.486635249999999,0.0170163916440189
"8050213","",0.439694499999998,0.0172389483676267
"8068214","",-0.21772475,0.0175375511407475
"7896742","LOC100134822///SEPT14///LINC00266-1///PCMTD2",0.619922375,0.0175667165280378
"7911347","LOC100134822///SEPT14///LINC00266-1///PCMTD2",0.619922375,0.0175667165280378
"7945342","LOC100134822///SEPT14///LINC00266-1///PCMTD2",0.619922375,0.0175667165280378
"8031990","LOC100134822///SEPT14///LINC00266-1///PCMTD2",0.619922375,0.0175667165280378
"8085054","LOC100134822///SEPT14///LINC00266-1///PCMTD2",0.619922375,0.0175667165280378
"8110670","LOC100134822///SEPT14///LINC00266-1///PCMTD2",0.619922375,0.0175667165280378
"8137666","LOC100134822///SEPT14///LINC00266-1///PCMTD2",0.619922375,0.0175667165280378
"8148964","LOC100134822///SEPT14///LINC00266-1///PCMTD2",0.619922375,0.0175667165280378
"8180207","LINC00680",0.227986537500001,0.0178120394093019
"8067969","CHODL",0.680065387500001,0.0178173084877912
"7907032","MAEL",-0.318203587499999,0.0179034591073333
"8068583","KCNJ15",-0.403164124999998,0.0180095139093642
"8091922","WDR49",0.386990487499999,0.0186412383748233
"8022104","",0.56428665,0.0187481950631809
"8072941","GALR3",-0.312448349999999,0.0190127736208336
"8126484","",-0.274450750000001,0.019082325531205
"7976481","SERPINA4",-0.478277362499998,0.0191451611010863
"7973314","OXA1L",-0.224550875,0.0191826396648257
"7942594","SNORD15B",-0.410043737499999,0.0192906893760757
"7925448","",0.344377325000001,0.0195225782096045
"7955156","CCDC65",-0.263829099999997,0.0195562501160067
"7996264","CDH5",0.446613787500002,0.0195564963841345
"7965226","RASSF9",0.474775075,0.0196259039526197
"8103516","",0.381999637500001,0.0197901537410986
"7960464","VWF",0.798172550000001,0.0197906998924314
"8022674","CDH2",-0.372858412499998,0.0198574736890798
"8107232","",0.2892864875,0.0198648253302196
"7920100","THEM5",-0.2308680125,0.0199945145615877
"7969736","FARP1",-0.228988874999999,0.0200963703258033
"7983143","STARD9",0.283262375,0.0202506436786889
"7919637","HIST2H2BE",-0.264721775,0.0206701644961741
"7900212","",0.3233815625,0.0207870721210798
"7939383","PRR5L",0.477656325,0.020811499938717
"8175844","IDH3G",-0.241158874999998,0.0209894665568225
"8137280","NOS3",0.372751599999998,0.0210296292723395
"8169634","",-0.5633559,0.0213918549800015
"8157582","GSN",0.261512637500001,0.0216861796928789
"7993458","C16orf45",0.353674725,0.0217225053447756
"8148694","GRINA",-0.220197275000002,0.0217241662914689
"8006812","PSMB3",-0.259416887500002,0.0219104212001106
"8166398","YY2///MBTPS2",0.246803450000001,0.022046542793855
"8146024","ADAM32",0.266860575,0.0220833261569762
"8057463","CERKL",-0.474162175000002,0.0220854914500896
"7921900","SH2D1B",0.832066537500001,0.0221594068126067
"7917008","LRRIQ3",-0.375051012499999,0.0221599318549575
"7972890","GRTP1",-0.454611212499996,0.0223506340556544
"7957746","SLC25A3",-0.209957999999997,0.0223637526635473
"8176384","ZFY",0.434468612500002,0.0224168299815837
"8141922","SLC26A5",0.2638278875,0.0224753645212052
"8143781","GIMAP6",0.336022649999999,0.0225243524177794
"7980537","STON2",-0.324095537499999,0.0226157220820802
"8146859","",-0.647757287500001,0.0226638218978187
"8003639","WDR81",-0.234130874999999,0.0229229552682898
"7953040","CACNA1C",0.222022325,0.0229834892870844
"8109120","AFAP1L1",0.211665562499999,0.0230961698996124
"8138337","AGMO",-0.621285987499996,0.0231904577384804
"7919153","",0.611421500000001,0.0234083404822677
"7919403","",0.611421500000001,0.0234083404822677
"7926916","ZEB1",0.378133799999995,0.0234805284611388
"8098938","",0.214940687500001,0.0235600915794446
"7963328","FIGNL2",-0.4628371375,0.0236621585847736
"8113705","",-0.216493475,0.0238354833804399
"7925929","AKR1C3",-0.440694499999999,0.0245219928634999
"8155246","",0.392320999999999,0.0246239018413284
"7934842","MMRN2",0.46720735,0.0249303342953482
"8121112","",0.3749940375,0.0249541981948198
"8047265","C2orf69///C2orf47",-0.285118975,0.0254006444317304
"7917466","",-0.202782725,0.0254807767624584
"7945245","NTM",0.353165700000002,0.0255318917733825
"7959657","ATP6V0A2",-0.305719574999997,0.0256601727582583
"8017104","",0.420413212500002,0.0257654519979939
"7957665","ELK3",0.297695200000001,0.0257811196671174
"8146353","",0.20787055,0.0259478899327803
"8033300","GPR108",-0.266450825,0.0259776388768507
"8037430","ZNF404",0.368017149999999,0.0261553787866007
"7937378","PTDSS2",-0.222793912499998,0.02620498594996
"7929744","NKX2-3",-0.201806412499999,0.0262299107414351
"7901229","FAAH",-0.338737362499999,0.0262712483233628
"8084732","RTP4",0.286356212499999,0.0265337605688384
"8070905","COL18A1-AS1",-0.322620849999998,0.026789728872946
"8112342","ADAMTS6",0.262382387500001,0.0270020653693628
"7958692","TCTN1",-0.228653062499998,0.0270744447361388
"7972487","DOCK9",0.367497349999999,0.0274870603062261
"8006466","",-0.485078612499999,0.027493847188057
