Gene.symbol,logFC,P.Value
LILRA1,1.279230938,1.5963358338804e-08
ADGRE1,1.147973161,1.82228996724395e-08
CDH13,1.215265205,1.91546646134668e-08
CD34,0.625476518,2.26925820425029e-08
LST1,1.106266893,4.49387126681604e-08
LST1,1.106266893,4.49387126681604e-08
LST1,1.106266893,4.49387126681604e-08
BCL2A1,0.881398304,4.86356779101589e-08
PSMB8,0.598355616,7.27541161039725e-08
PSMB8,0.598355616,7.27541161039725e-08
PSMB8,0.598355616,7.27541161039725e-08
GBP4,1.344206232,1.19799053153367e-07
CXCL11,2.111319607,1.24723504272471e-07
GMFG,1.027722473,1.8401684471405e-07
HCK,0.98440708,2.4634516023381e-07
LGALS9,0.740777661,2.57781374529499e-07
SIGLEC10,0.748656982,2.58762464157171e-07
PRR11,0.56922608,4.0220721791444e-07
CXorf65,0.652022455,4.17455873802357e-07
PLA1A,0.988554634,4.33136783722259e-07
C1orf162,1.27975608,5.003234288453e-07
IDO1,1.792752464,5.46372866606308e-07
LGALS9C///LGALS9B///LGALS9,0.817398527,5.7524114796617e-07
FXYD5,0.904392964,5.84985523209622e-07
GBP1P1///GBP3///GBP1,0.938789991,6.33226413852133e-07
FCGR3B///FCGR3A,1.652974295,6.53741091707541e-07
HLA-DMA,0.783113143,6.94355301152789e-07
LILRA5,0.725831464,7.17452707887266e-07
ADAM15,0.667665536,7.86489137624367e-07
IL1B,1.000117839,8.86216556664457e-07
HLA-DMB,0.839234179,9.12168827825526e-07
HLA-DMA,0.781545134,9.55009165754242e-07
HLA-DMA,0.781545134,9.55009165754242e-07
IRF1,1.092459446,1.04066084283129e-06
GIMAP6,0.677263179,1.17078831522247e-06
CXCL10,1.995404375,1.1861480046987e-06
PTPN6,0.717490339,1.19420407573618e-06
TNFRSF9,1.097069071,1.19933469314545e-06
FPR1,0.603544911,1.29504739835154e-06
TLR8,0.963041955,1.32323022465849e-06
PSMB9,0.857881687,1.40476885465601e-06
PSMB9,0.857881687,1.40476885465601e-06
PSMB9,0.857881687,1.40476885465601e-06
MIR155///MIR155HG,0.878057134,1.40488479641608e-06
GBP7,0.511405321,1.43144076383934e-06
LILRB2,1.06489375,1.4758817218113e-06
HLA-DMB,0.835922866,1.50048335270691e-06
TAP1,0.987315911,1.50424421859239e-06
TAP1,0.987315911,1.50424421859239e-06
TAP1,0.987315911,1.50424421859239e-06
CASP5,0.823002402,1.63649481513862e-06
CD244,0.868040964,1.68633287651395e-06
CLEC12A,1.01406333,1.77683667047533e-06
PPM1N,0.540448714,1.78786165134448e-06
CCL4L1///CCL4L2///CCL4///CCL4L1,1.03257425,1.82424655090979e-06
CD74///ROS1,0.576118393,1.98203469292902e-06
HEG1,0.52974717,2.32213746268926e-06
BID,0.529400732,2.35816089582622e-06
FCGR3A,1.136649286,2.4595411297172e-06
PRKCH,0.855829339,2.48283222566381e-06
HLA-DRA///HLA-DQA1,0.692012054,2.55778428691423e-06
TGFB1,0.590233313,2.67704225917222e-06
SCIMP,1.229570455,2.83670653123744e-06
CCL4L1///CCL4L2///CCL4///CCL4L1,1.184966098,2.86874429389141e-06
CCL4L1///CCL4L2///CCL4///CCL4L1,1.184966098,2.86874429389141e-06
CXCL9,2.00177767,2.9364778306583e-06
LILRB1,1.005411643,3.07399649858234e-06
APOBEC3D,0.614322437,3.08544941252338e-06
GNG2,0.607469946,3.08700738082478e-06
WARS,0.763797857,3.18906706539603e-06
GBP5,1.86666283,3.28657759220471e-06
APOL3,0.674339348,3.31113841683434e-06
HLA-DRA///HLA-DQA1,0.672808661,3.51009225625551e-06
LGALS9C///LGALS9B///LGALS9,0.723499321,3.63490320952249e-06
ADGRE3,0.474413946,3.9409861132991e-06
CD80,0.6941525,4.16473768241975e-06
ARHGDIB,0.866570509,4.31792463976972e-06
TNF,0.603392848,4.8958598034612e-06
TNF,0.603392848,4.8958598034612e-06
TNF,0.603392848,4.8958598034612e-06
SRGN,0.81916958,5.09128642351519e-06
HLA-DRA///HLA-DQA1,0.687269821,5.24610261215842e-06
SH3BGRL3,0.344699571,5.45048085552932e-06
DHRS9,0.679918839,5.54482055190394e-06
ATAD5,0.382862714,6.28170109695614e-06
CDH5,0.614835187,6.49655398593489e-06
NLRC4,0.540913723,6.71421000300406e-06
SH2D1B,1.152044938,6.80363831404652e-06
IL18RAP,0.839763411,6.8124439002226e-06
AIM2,1.025913161,7.76370368902787e-06
STX11,0.916586759,7.84258290407837e-06
CLEC9A,0.579574366,7.92782936424495e-06
CTLA4,0.652537813,8.15674533637527e-06
CD52,1.207389473,8.1631850315664e-06
HLA-DQA2///HLA-DQA1,1.125494018,8.42881122711494e-06
HLA-DQA2///HLA-DQA1,1.125494018,8.42881122711494e-06
MARCH1,0.86209825,8.56507863513939e-06
FCN1,0.906450491,8.67076405940087e-06
FGR,0.590239411,9.1643017474333e-06
PYCARD,0.570291786,9.51203346014428e-06
CD86,1.088107375,9.63099338192649e-06
TTK,0.364327063,1.02101898522871e-05
KCNJ2,0.567960366,1.04593380899777e-05
HCAR3,0.702415411,1.10893669091813e-05
ICAM2,0.576243634,1.14797625009316e-05
HLA-DPB1,0.796233929,1.15346502306501e-05
CD53,1.120307366,1.16700447064669e-05
HHEX,0.421641562,1.30731823346899e-05
HCST,0.945341643,1.39859117565072e-05
PECAM1,0.5782175,1.55152228705026e-05
DOK2,0.697570188,1.55991451631945e-05
GNLY,0.926012027,1.59818402141563e-05
ICAM1,0.768215875,1.6178623291556e-05
SHROOM3,-0.388231616,1.62363330693608e-05
ACKR4,0.844271795,1.63911620811642e-05
LAYN,0.586926348,1.69049460127847e-05
LYN,0.889056134,1.76086615369028e-05
,0.558341786,1.85831480652563e-05
CSF1R,0.884793938,1.92998147533059e-05
EMP3,0.708766223,2.0192374180714e-05
ARRB1,0.575576089,2.04115217453215e-05
BTN3A2,0.798561277,2.11326591990722e-05
CENPK,0.641480946,2.18836595269928e-05
HLA-DOA,0.90035242,2.26141838794032e-05
VAMP5,0.374542616,2.27357204494606e-05
LCK,0.617358804,2.30853671672554e-05
TYROBP,0.91048725,2.3295411514406e-05
ZCCHC14,-0.344954518,2.34213459159661e-05
PDCD1LG2,0.960384491,2.43225517551102e-05
SECTM1,0.65604842,2.49907981620118e-05
GIMAP2,0.753545491,2.58246396438705e-05
ZGRF1,0.291783527,2.59223776747077e-05
FCRL3,1.022143,2.62682696336069e-05
ARPC1B,0.657668286,2.68180167996347e-05
GIMAP4,0.807811277,2.98166251677884e-05
CD300C,0.473196098,3.07292531302731e-05
RAD51AP1,0.355480875,3.0917853583698e-05
NCF2,0.91334083,3.15226769422445e-05
TM6SF1,0.666012446,3.2414378906548e-05
CLIC2,0.799527321,3.28834818589946e-05
INPP5D,0.81710817,3.32676534011538e-05
TSPYL1,-0.282196964,3.53353400588464e-05
