"","Gene.symbol","logFC","P.Value"
"8033813","FBXL12",0.372320388888888,6.16453301860089e-10
"8005441","SMCR8",0.320065638888886,2.19347586883317e-08
"8058415","INO80D",0.312105000000001,8.17179863902263e-08
"8005857","TMEM199///TMEM199",0.329187972222226,1.14631054849078e-07
"8118682","PHF1",0.458710027777776,1.23969493417812e-07
"7949410","MALAT1",-0.624194500000003,1.24340008598445e-07
"7906223","RRNAD1",0.278449138888889,1.63737084560898e-07
"7978260","DHRS1",0.485434499999997,1.85172364461519e-07
"7990165","PARP6",0.443662972222226,2.24464164443598e-07
"8163807","PHF19",0.402309416666664,2.42550463682072e-07
"7963174","CERS5",0.489086555555554,2.64074001363873e-07
"8009932","SAP30BP",0.288149722222222,3.53717092665183e-07
"8116020","LMAN2",0.378979999999997,4.31258597201043e-07
"7941164","MRPL49",0.634984416666663,4.44164521111852e-07
"7940051","ZDHHC5",0.305327111111113,7.82979808078014e-07
"8117922","PRR3",0.308285722222221,8.94149469409292e-07
"7914530","BSDC1",0.307421416666671,9.84698811141455e-07
"7953395","COPS7A",0.360355250000003,9.89539245380169e-07
"8087685","TMEM115",0.340784166666669,1.03109941179253e-06
"7900710","SZT2",0.312882833333333,1.18889394548952e-06
"7914354","PEF1",0.363036972222222,1.20477999700564e-06
"8105061","FYB",-0.630828888888889,1.20942052081695e-06
"8030049","CYTH2",0.372974861111109,1.38446649045689e-06
"7994928","PHKG2",0.316382611111109,1.51701864324843e-06
"8000413","NSMCE1",0.674265250000001,1.51985573150614e-06
"8155110","RGP1",0.280041500000003,1.65595366037241e-06
"8053975","LMAN2L",0.409669500000001,2.35572416999261e-06
"7996919","VPS4A",0.351526777777778,2.4855518186481e-06
"7958410","FICD",0.289380944444442,2.5836143056941e-06
"7903619","SARS",0.440871722222225,2.58546648603533e-06
"8168873","ARMCX6",0.679647694444445,2.66171673320327e-06
"7912750","FBXO42",0.357560972222224,2.68636456361599e-06
"7963689","NPFF",0.364538027777778,2.82222048843244e-06
"7899173","DHDDS",0.398808694444446,2.98058253405794e-06
"8173729","PGAM4///PGAM1",0.38630772222222,3.02798956536883e-06
"8176282","PGAM4///PGAM1",0.38630772222222,3.02798956536883e-06
"7953341","TAPBPL",0.444041472222221,3.09950872831068e-06
"7958152","PGAM4///PGAM1",0.40334333333333,3.13567354663242e-06
"7929624","PGAM4///PGAM1",0.402091194444447,3.22774897204372e-06
"8037331","XRCC1",0.297470249999998,3.24187234335602e-06
"8131143","LFNG",0.418074972222223,3.32941165985336e-06
"7965480","PGAM4///PGAM1",0.407656666666666,3.45147879869189e-06
"8008087","NFE2L1",0.399078055555556,3.57433196966478e-06
"8024358","CSNK1G2",0.291315277777779,3.7035068007579e-06
