Gene.symbol,logFC,P.Value
HLA-DPB1,0.990783333,4.82223377276427e-07
HLA-DPA1,0.847041667,6.45190298760435e-07
HLA-DPB1,1.022910833,1.21017298982443e-06
HLA-DOB,1.2247165,1.4511642617087e-06
HLA-DPB1,0.904373333,1.48174917517051e-06
HLA-DPA1,0.858849167,1.52234062142097e-06
HLA-DPA1,0.858849167,1.52234062142097e-06
JAML,1.289616667,2.20634430287097e-06
TMC8,0.568693917,2.44063198824723e-06
CIITA,0.79280025,2.70869848549636e-06
MYO1F,0.9024575,2.90711186078839e-06
HLA-DOB,1.159047417,4.03345075378691e-06
MIR223,0.887036917,4.10225697334677e-06
CD53,1.253467417,4.19607379612611e-06
SELPLG,1.1582385,5.73258013509158e-06
PTGDR,0.880040667,6.07939468157769e-06
HCLS1,1.014004167,6.26729805618187e-06
CSF2RB,0.9256825,6.28931019802908e-06
SLA,1.17469975,7.3201124964964e-06
WDFY4,0.932715333,7.42290565668666e-06
IRF8,1.2609325,7.60509401468743e-06
EVI2B,1.183865667,8.01191696773656e-06
CD48,1.464349083,8.79858220375318e-06
STAT4,1.029854167,9.78130183207083e-06
FMNL1,0.697994167,1.1029551084087e-05
IL10RA,1.112567583,1.15387613478022e-05
WIPF1,0.713659167,1.18564977715688e-05
ACKR1,1.219456667,1.19051296975219e-05
HLA-DQA2///HLA-DQA1,0.9472725,1.22807295363309e-05
HLA-DQA2///HLA-DQA1,0.9472725,1.22807295363309e-05
MS4A6A,0.956375833,1.56499962089293e-05
CD74///ROS1,0.613688333,1.62390583254324e-05
RAB37,0.577673083,1.82503201080605e-05
ARHGDIB,0.941033583,1.85410819894668e-05
FCGR3B///FCGR3A,2.067354417,1.95330601350075e-05
PLA1A,1.385825083,2.17374636552976e-05
RASSF2,1.0344845,2.27642085451602e-05
ITGAM,0.60524575,2.35329175757053e-05
CARD11,0.608733833,2.54592167449503e-05
LSP1,0.5506825,2.59766498997741e-05
AOAH,1.4702395,2.59843215218419e-05
PIK3R5,0.55429225,2.88486203745392e-05
WDFY4,0.669405583,2.93392130020409e-05
CLEC12A,1.05977775,2.97751140497291e-05
CD247,0.856954,3.14022217746675e-05
CD86,1.113977583,3.14477098926937e-05
C10orf54,0.558677333,3.2383855211226e-05
TESPA1,0.901451833,3.60812066203338e-05
IL18RAP,0.959913417,3.7522683181153e-05
C1orf162,1.368632,3.85256800788311e-05
DOCK2,1.227081333,3.93456379500174e-05
TMEM71,0.838534,3.95157259609533e-05
SLA2,0.621433083,4.35032658479897e-05
HLA-DRA///HLA-DQA1,0.710241667,4.3800852210629e-05
PLAC8,1.7055385,4.39307539502916e-05
LCP2,1.069708167,4.39592247446587e-05
HLA-DRA///HLA-DQA1,0.725819167,4.97886913078038e-05
NCKAP1L,1.14813825,5.46368047220196e-05
PTPRC,1.435232917,5.62036320580056e-05
ITGB2,0.975524083,6.23911712281038e-05
STK10,0.717941833,6.30111165434e-05
CSF1R,0.91790925,6.39694149476905e-05
LOC728392///NLRP1,0.557771,6.63205853594607e-05
CD37,1.033403667,6.67007419148018e-05
PLCB2,0.820023333,6.68473716372687e-05
LYZ,1.201209333,6.69780239502215e-05
MYO1G,0.914339333,6.91036423886015e-05
SCIMP,1.275985333,7.03266741998628e-05
SRGN,0.8222985,7.04159903753133e-05
CYTIP,1.12478775,7.13507208802841e-05
XCR1,1.052020417,7.14840568038923e-05
MPEG1,1.148170333,7.82287114844914e-05
ELMO1,0.713680083,8.0966743591476e-05
FAM65B,0.967956083,8.30189794026382e-05
HLA-DOA,0.962429667,8.39827665904026e-05
GPR132,0.623934667,8.43109679469471e-05
CORO1A,1.080396667,8.79200291967227e-05
TNFSF8,0.933579,8.89252523354477e-05
CXCL11,2.220244583,9.34425153647752e-05
CYTH4,0.892333667,9.45842356241625e-05
IL7R,1.799372583,9.48535174045947e-05
GIMAP1-GIMAP5///GIMAP5,0.7633025,9.57673233532082e-05
AQP9,1.184692917,9.62501822150496e-05
HLA-DOA,0.871741833,9.63593996021006e-05
HLA-DRA///HLA-DQA1,0.723464167,9.7109655160994e-05
APOBEC3F,0.73064775,0.000102197
TAGAP,0.835764167,0.000102646
PIK3CG,1.00835675,0.000103572
SLAMF8,1.146381,0.000104578
FGFBP2,0.854071083,0.000106181
INPP5D,0.890583,0.000109545
APOBEC3G,0.929063917,0.000110087
DGKA,0.871440667,0.0001112
FCGR2B,0.840033667,0.000113315
LAPTM5,0.963118833,0.000115098
TXK,0.605032083,0.000119016
HLA-DQB2///HLA-DQB1,0.764554333,0.000120082
CD300A,0.649630333,0.000122027
APOBEC3D,0.569444667,0.000122164
MRC1,0.968296917,0.000123356
MRC1,0.968296917,0.000123356
HLA-C///HLA-B///HLA-B,0.461613333,0.00012498
HLA-C///HLA-B///HLA-C///HLA-B,0.456933333,0.000125031
ITK,1.2153285,0.000129109
IL2RG,1.476191667,0.00012975
SELL,1.169919417,0.000135689
FCGR2C///FCGR2B,1.083732333,0.000139618
LCP1,1.282183417,0.000140019
KLHL6,0.822322333,0.000140964
EVI2A,1.174064083,0.000141175
,0.7864175,0.000141789
GAPT,0.978524,0.000146656
HLA-C///HLA-B///HLA-B,0.454924167,0.000146736
