"","Gene.symbol","logFC","P.Value"
"7912194","",0.492964458333335,1.22670165926612e-05
"7936050","CYP17A1",-1.23820383333333,2.71905412213815e-05
"7920238","S100A12",0.606771500000002,4.4085210539908e-05
"7941563","",0.676809833333336,4.62081122296227e-05
"8168470","COX7B",-0.824212666666667,7.52738074107319e-05
"8151411","",0.49363479166667,0.000166480112144162
"7902104","PDE4B",0.458551125000005,0.000168773060709117
"7952673","FLJ45950",-0.889764666666665,0.000175071054924298
"7914950","CSF3R",0.486424750000002,0.000185307573553337
"7921003","C1orf61",0.4013885,0.00018662421039072
"8013567","LYRM9",-0.774086666666666,0.000218504734543898
"8180264","LYRM9",-0.774086666666666,0.000218504734543898
"8065196","",0.635694833333336,0.00021885892897405
"7981726","",1.10734420833333,0.000219616284914212
"8118556","HLA-DQA1",1.16178695833334,0.000236888292820835
"7980454","ALKBH1",-0.406629333333331,0.000246064258778121
"8066027","",-0.469568708333333,0.000253515561213446
"7978366","GZMB",0.634305541666668,0.000280985257829745
"8127542","",0.458958625000003,0.000287999007690876
"8173812","HMGN5",-0.651163749999999,0.000336323345018258
"8162529","",0.495150875000001,0.000339024237536263
"8016787","",0.476787291666667,0.000339146733494722
"8100827","JCHAIN",2.43093104166667,0.000348417266155461
"7967987","MRPL57",-0.347140999999995,0.000367306078807005
"7937735","LSP1",0.544908666666669,0.000385038035103744
"8034698","MIR23A",0.574372791666672,0.000394612948328015
"8049478","COPS8",-0.401095833333329,0.000395767353204788
"8176253","",-0.406516458333329,0.000412516193403643
"8038393","MIR150",0.420916541666668,0.000416057624932488
"8001102","",1.61044070833334,0.000425062358390067
"7920256","",0.576079833333337,0.000436396115177269
"7999752","LYRM2///ZC3H11A",-0.425961916666662,0.000452093880481903
"7923233","KIF21B",0.35202654166667,0.000452370879954961
"7960370","CRACR2A",0.417587166666667,0.000462195565510082
"8138602","DFNA5",-0.56587395833333,0.000465258504486865
"7981720","IGHA1///SCFV///C14orf99///IGHV3-48///IGHV3-69-1",1.83658854166667,0.000481949900160648
"7981724","SCFV///IGLJ3///IGHM///IGHG1///IGHD///C14orf99///IGHV3-48///IGHV3-69-1",2.15195029166667,0.000497307354477852
"8147112","CA13",-0.372497999999998,0.000499506879198057
"7951672","PIH1D2",-0.593900874999997,0.000504401137930669
"7981740","SCFV///IGLJ3///IGHM///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-69-1",1.95621216666668,0.000507919516429826
"8070257","PIGP",-0.356316124999997,0.000529143204665447
"7995263","SCFV///IGLJ3///IGHV3-23///IGHV3-41///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///IGH///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7",2.04318037500001,0.00057514607163334
"8014140","",0.469690041666667,0.000588837329755942
"8145691","UBXN8",-0.410605791666664,0.000589609369161112
"8034097","ILF3-AS1",-0.555416458333333,0.000608868867515889
"7950064","FLJ42102",0.476543708333335,0.000612406522486196
"7981722","IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-69-1///IGHV3OR16-7",1.97772179166667,0.000614411897123566
"8136889","",0.511295875000002,0.000614462930317308
"8131811","",0.423355125,0.000623527830767873
"7910134","MIXL1",0.278298125000003,0.000627010520857679
"7950641","NDUFC2-KCTD14///KCTD14",-0.476453999999997,0.000630094667661301
"8071597","",0.974256000000001,0.000643603527935283
"8178199","HLA-DQA2///HLA-DQA1",1.00949208333333,0.00064803436026782
"8179489","HLA-DQA2///HLA-DQA1",1.00949208333333,0.00064803436026782
"8149248","",0.871838666666668,0.000650339711435177
"8100426","",0.616263333333335,0.000652092337213634
"7955858","HOXC10",-0.414771249999998,0.000660826899072938
"8074944","DERL3",0.776891458333338,0.00066216940256752
"7981730","SCFV///IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7",1.98062612500001,0.000664720852509577
"7985777","ISG20",0.467783875000003,0.000692332073233181
"8067221","ZBP1",0.526758375000002,0.00069620514784859
"7939102","ELP4",-0.457562791666664,0.000696342967796364
"7978666","MBIP",-0.298389374999996,0.000710557901058099
"7906330","CD1D",0.47013116666667,0.00071084545873007
"8012558","PIK3R5",0.479521750000001,0.000720411022747907
"8107090","",0.556116708333336,0.000720547005774981
"7981728","IGHM///IGHV3-48///IGHV3-69-1",2.21999641666667,0.000727882095202735
"8114511","MZB1",0.876476916666668,0.000766845585053377
"8148448","KHDRBS3",-0.321478541666664,0.000770529120690996
"7953901","CLEC12A",0.839768583333334,0.000789207173253406
"7937782","TSPAN32",0.339722625000001,0.000795445687784549
"8021245","DCC",0.481141583333335,0.00080064224564316
"8057034","PRKRA",-0.299612999999997,0.000803548662240439
"8001104","IGHV3-48///IGHV3-69-1///IGHV3OR16-7",2.06267508333334,0.000803830201615924
"8080847","C3orf14",-0.464409583333332,0.000834469189410195
"8043436","IGKC",2.51954470833334,0.000857731144050983
"8171313","ARHGAP6",-0.351544916666664,0.000859389818945785
"8105456","SETD9",-0.485496791666665,0.000873000443753062
"8091809","",0.686158083333336,0.000883349284801731
"8125470","HLA-DOB",0.934117791666668,0.000887502512342927
"8178833","HLA-DOB",0.980776333333336,0.000892612600508
"8054837","C2orf76",-0.338533083333332,0.00091024022202335
"7902634","RPF1",-0.313697083333331,0.000913485696305007
"8124305","",0.455308208333335,0.000922476181421364
"8037387","",0.523433583333336,0.000959327059347526
"7971482","",0.683704583333335,0.000962140279038334
"7922008","TADA1",-0.331897999999999,0.000994359706834724
"8144699","",0.726589333333336,0.00100755207327393
"7918026","EXTL2",-0.411841999999996,0.00101320323962363
"7932721","LRRC37A6P",-0.523807083333331,0.00103279572443798
"8145529","",0.448609583333336,0.00103771883258477
"7987642","NDUFAF1",-0.485753708333329,0.00105910916980445
"7925480","FH",-0.454268791666662,0.00106045541625309
"7981737","IGHV3-69-1///IGHV3OR16-7",1.91429079166667,0.00106446821598565
"7906435","ACKR1",1.01911475,0.00108540855426154
"8138485","",0.433620041666668,0.00108853299685949
"7921144","SH2D2A",0.424344625000002,0.00109149416857921
"8009727","MRPL58",-0.374267999999997,0.00110207752928124
"8085714","",0.569057166666667,0.00111274943001789
"8043835","C2orf15",-0.600198749999998,0.00111773387134026
"7975813","",0.415683416666668,0.00112247858775215
"7903854","SLC6A17",-0.353756416666664,0.00113574820432334
"7906613","SLAMF7",1.74340429166667,0.00114734160880371
"8112458","AK6///TAF9",-0.269063041666666,0.00115936744100132
"8165642","TMEM203",-0.370607874999998,0.00119416885148603
"8071642","",1.560098875,0.00120298790540163
"7934161","PRF1",0.850881500000002,0.00120873504839186
"7945734","C11orf21",0.352442458333337,0.00120875278190326
"7906417","CADM3",0.524943208333334,0.00121627162850712
"8024532","ZNF57",-0.312524624999998,0.00122233698274053
"8021147","IER3IP1",-0.482076999999999,0.00122259957800593
"7976816","SNORD114-3",-0.791793749999996,0.00122329883788706
"7954591","MRPS35",-0.460269999999998,0.00122626479652528
"8046792","DUSP19",-0.351027124999998,0.00122862603451878
"7974799","MNAT1",-0.441963916666666,0.00123776516773514
"8170235","",0.462935583333335,0.00125504833867956
"7937823","KCNQ1",-0.351575958333331,0.00130738832084311
"8010086","METTL23",-0.366305708333332,0.00131214131246165
"7983910","AQP9",0.92218241666667,0.00135962524437884
"7924756","",0.254378333333337,0.00138092845771584
"7944911","HEPN1",0.372354583333335,0.00138807712229485
"8073474","MEI1",0.358244833333337,0.00138914537114569
"8043848","MRPL30",-0.314865875000001,0.00139542851025595
"8095139","SRD5A3",-0.381384208333332,0.00140027487164294
