Gene.symbol,logFC,P.Value
C1QB,2.192068897,5.40011179662999e-05
SLC1A7,-1.460312597,0.000155895
LOC105379362,-0.987622373,0.000192132
C1QC,2.391122481,0.000294762
PCBP3,1.563157132,0.000296218
ZNF100,-1.21544153,0.000373294
AGAP1,-1.425528826,0.000381658
CRYBB2,-0.904394834,0.000467011
PNMA3,1.217777107,0.000494729
IFITM3,1.044119521,0.000502136
SLC10A7,1.389297934,0.000512452
C15orf62,0.956511655,0.000620548
IFITM4P,1.186317229,0.000675198
AMOTL2,1.159404851,0.000724773
KIR2DS1,2.110901991,0.000793143
C1QA,1.605493222,0.000808388
JUP,1.399374001,0.000822173
SIGLEC1,2.059081666,0.00090948
PCLO,1.196141274,0.001056692
NFIA,-0.850753787,0.001073911
LOC151174,1.90742728,0.001078426
LOC100131232,1.031327933,0.001083148
PTK2,0.974500544,0.001246648
IFITM2,1.009295149,0.001257878
GPSM1,0.827423248,0.001333493
LY6E,1.162706502,0.001383619
SPATA31E1,0.908588285,0.001434569
OAS3,1.392246243,0.001470729
MBNL2,-0.816450871,0.001471687
SLC2A5,-0.983962001,0.00150518
KIR3DL2,1.674050704,0.001561296
DNM3,-1.188550976,0.001563313
PPM1L,-0.922835185,0.001597032
OTUB2,1.442650994,0.001654968
SOBP,0.888188455,0.001695883
EFNA2,1.011505023,0.001710774
LIF,0.996033036,0.001739881
SERPING1,1.525170451,0.001791985
SCO2,0.914903632,0.001854729
ARHGDIG,1.354657082,0.001876803
GH1,0.952509682,0.00190752
GGT5,1.556160574,0.001976861
PRSS23,-1.139108519,0.00200437
GGACT,-0.801104661,0.002175547
IFI44,1.255999784,0.002206866
AGRN,1.181516899,0.002268512
SIGLEC1,1.848843856,0.002269935
TIE1,1.360458546,0.002309093
MCTP2,-0.99313185,0.002333203
USP46-AS1,-0.812308229,0.002404114
CSHL1,0.950988149,0.002442851
ZFP64,-0.94946692,0.002476539
IFI44L,1.804269091,0.002565082
EBI3,1.140055648,0.002579505
KIR2DL4,1.405940113,0.002592351
GSTT2,1.497240224,0.002675864
FAM71A,0.98677796,0.00269097
ALDH8A1,1.02465011,0.002705941
BTBD9,-0.817059936,0.002727433
F11R,-0.830014448,0.002728579
GTSE1,0.871282367,0.002781976
FGF22,0.787154997,0.002807358
KIR2DL5A,1.324658456,0.00281852
CCNJL,0.7770385,0.002904406
HSD3B2,0.778809038,0.002979422
FAM105A,-0.823927049,0.003072317
CES3,0.854844076,0.003094599
KIR2DL2,1.293089874,0.003149218
LYNX1,-0.836153877,0.003191194
ANKRD50,-0.732517293,0.003196433
CDC14B,-0.86693828,0.003205148
GAS2,1.096226287,0.00352326
PGLYRP1,1.514641968,0.00358852
ME1,-0.891738944,0.003607335
SLC16A5,-0.792257086,0.003765202
CFAP53,0.928255694,0.003769322
HNF1B,0.767902994,0.003818725
LOC401433///NUB1,1.094351587,0.003822795
AS3MT,1.064945768,0.00394032
SBF2,0.796589268,0.004052223
SSX2IP,-1.005159924,0.004061041
ZNF577,0.761264795,0.00410126
PHLDB2,-0.8052781,0.004102291
ADAMTS15,1.135369045,0.004130292
GATM,-1.21330693,0.004157824
ADRB2,-0.917460117,0.004216913
IFIT3,1.623181734,0.004316078
FAM95A,1.168823086,0.004337918
PER1,1.48533852,0.004394476
DGCR2,-0.903727967,0.004420924
SSTR2,1.028208417,0.004500109
ASTN1,1.099454935,0.004530755
KIR3DL1,1.340395298,0.004566053
INSL3,1.061665382,0.004604536
DAGLA,-1.016854184,0.004624926
RRM2,1.045178681,0.004697513
ZNF197,-0.715801974,0.004768788
LDLRAD4,-0.85980279,0.004824723
REM2,1.059351577,0.004848998
CECR5-AS1,-0.799911088,0.004974121
PLEKHA7,-1.076878776,0.004974459
FAM134A,-0.60367658,0.005023004
FYN,1.065718659,0.005344914
C2,1.030341154,0.005371761
MPP5,-0.773275704,0.005454404
PLA2G16,-0.741042563,0.005479877
EFNA5,-1.284874802,0.005488709
HS6ST1,-0.642171541,0.005516005
PLEKHA7,1.330166029,0.005561142
FTMT,0.841887756,0.005574966
NRSN2,-1.154980493,0.005598814
MKKS,-0.711456832,0.005628379
IRF7,0.750068773,0.005753728
LRP2,2.185909981,0.005873615
SPDYE3,0.70041249,0.005876847
FAM120C,-0.647627938,0.005895291
REC8,0.792076427,0.005914118
CRISP2,1.388885299,0.006063315
TUBA3FP,0.763373269,0.006080513
CDHR3,0.977201582,0.00609597
CKLF,-0.888865692,0.006129158
CDH26,-1.04710255,0.006132714
GABRD,0.932021758,0.00614486
WBSCR28,1.119365504,0.006261504
ZBTB46,0.889231912,0.006303795
FAM222A,0.706008906,0.006323769
NSD1,0.855589945,0.006474585
LGALS9C,0.980212642,0.006510237
KIR2DS2,1.356458931,0.006526235
SPACA6,0.830293941,0.006591175
PCGF5,0.730191014,0.006600878
SFTPA1,0.95016122,0.006610713
INSL3,0.748369849,0.006659526
SLC39A12,1.61084341,0.006668072
NAP1L1,-0.923707327,0.006726174
ZNF652,-0.742662434,0.006764107
BCL11A,-0.799165921,0.006874798
PDE8B,-1.174638674,0.007020021
F2R,-0.720097382,0.007058008
VAV3,-0.73711585,0.00718275
P2RX6P,1.478659574,0.007292201
ZNF233,1.481698306,0.007299584
SYT15,0.744123003,0.007314169
STEAP3,-0.69045882,0.007326385
NMUR1,-0.998970347,0.007332175
CFAP157,1.167040209,0.007365284
CITED1,0.738682022,0.007441133
TNNI3,0.978439109,0.007494801
DUSP5,0.804364583,0.007529898
XAF1,1.020413408,0.007542416
BFSP1,-1.106545614,0.007616593
KBTBD11,-0.7498347,0.007705279
SLC34A1,0.923800201,0.007797281
RHOV,1.011293206,0.007800789
SCN3A,1.317594937,0.007814607
CCNF,0.6823597,0.007902012
GPR35,0.86485418,0.007906933
LYRM4,-0.48109182,0.00791951
CEP135,0.789030073,0.007959236
TMEM139,1.020802537,0.007994002
CNR1,0.754103552,0.00799674
SLC25A43,1.084958106,0.008029912
CSAG1,0.938894936,0.008055827
NHLRC2,-0.881456968,0.00819138
WDFY4,-0.641507575,0.008232789
ZNF480,-0.666219606,0.008247313
KIR2DS4,1.287876767,0.008298365
CD7,0.918736937,0.008405875
LCN2,1.21495651,0.008460215
CEL,1.106545689,0.008558196
P2RX7,0.710336784,0.008561736
HERC5,0.816375836,0.008597198
FBXL18,0.807455733,0.008625774
CAMSAP3,0.871027773,0.008699713
TFF3,1.766560653,0.008729538
WAS,0.945602428,0.008755366
NAPSA,0.805253555,0.008787914
RYR1,0.84071992,0.008804059
SAG,-0.884778857,0.008805929
SOCS1,1.324973669,0.008907776
BANF2,1.150918149,0.008961227
BNC2,-0.948002605,0.008991839
PLEKHM3,-0.774259514,0.009064592
LINC00525,1.121577992,0.009075961
KIAA1324,-0.888701233,0.00912955
OR2T5,1.135614696,0.009170848
GAL,0.925410053,0.00925269
UBALD1,0.830640942,0.009434115
STAT1,0.907101956,0.009476012
EIF4EBP2,-0.623918012,0.009486742
PRSS23,-1.118203889,0.009505956
MUC1,0.772096219,0.009506641
HES4,0.913970196,0.009564764
