Gene.symbol,logFC,P.Value
CXCL11,2.159307279,5.26047917144363e-11
C1orf162,1.302498271,1.10154002929876e-10
GMFG,1.007095929,1.25324793217109e-10
PLA1A,1.112079771,1.28018862622115e-10
CD74///ROS1,0.582628214,1.6433605588104e-10
FCGR3B///FCGR3A,1.767100371,1.793840570375e-10
FXYD5,0.8393345,3.77290170347733e-10
ARHGDIB,0.899518843,4.32598242684299e-10
HLA-DRA///HLA-DQA1,0.703909857,4.3477486674442e-10
LST1,1.031677436,4.87778539946656e-10
LST1,1.031677436,4.87778539946656e-10
LST1,1.031677436,4.87778539946656e-10
CD34,0.606338314,5.08705629711221e-10
HLA-DPB1,0.831233357,5.11428500190929e-10
HLA-DRA///HLA-DQA1,0.685231571,5.77185378390297e-10
CLEC12A,1.009466629,6.98113140457941e-10
HLA-DMA,0.744482914,8.8407133361372e-10
APOBEC3D,0.596050029,1.1939846158808e-09
IDO1,1.728006893,1.33276511610033e-09
HLA-DMA,0.742577264,1.35906873067036e-09
HLA-DMA,0.742577264,1.35906873067036e-09
LILRA1,1.1871134,1.39243615978282e-09
CD53,1.154046579,1.4056212711158e-09
SCIMP,1.232058364,1.43651303256835e-09
HLA-DRA///HLA-DQA1,0.702730071,1.55163853581144e-09
SRGN,0.820162307,1.61665893145457e-09
IL18RAP,0.8725032,1.87451870423519e-09
HCK,0.917800007,2.38928799767577e-09
HLA-DQA2///HLA-DQA1,1.072642643,2.48343338084985e-09
HLA-DQA2///HLA-DQA1,1.072642643,2.48343338084985e-09
HLA-DPB1,0.824296071,2.67776910993899e-09
PSMB9,0.857517236,3.59389352356132e-09
PSMB9,0.857517236,3.59389352356132e-09
PSMB9,0.857517236,3.59389352356132e-09
TAP1,0.969085371,3.96634293960763e-09
TAP1,0.969085371,3.96634293960763e-09
TAP1,0.969085371,3.96634293960763e-09
GBP4,1.262345393,4.45268559362095e-09
CD86,1.079023657,4.75405437958747e-09
HEG1,0.576277186,4.78270389477257e-09
GBP1P1///GBP3///GBP1,0.930754064,4.91167906258159e-09
SIGLEC10,0.649647364,4.96410544277231e-09
LGALS9C///LGALS9B///LGALS9,0.801430557,5.48492790543738e-09
ADGRE1,1.087722129,5.66239016089402e-09
CXCL9,1.968026764,5.84564670182858e-09
GBP5,1.879005421,5.8857022830624e-09
GIMAP6,0.640621857,6.96371035159335e-09
HLA-DPA1,0.763586571,7.41587232272e-09
HLA-DPB1,0.820145,8.14367047638468e-09
PTPN6,0.725497443,1.00740785082054e-08
CD52,1.222662914,1.01617416329658e-08
CD244,0.840842021,1.09793627283616e-08
CXorf65,0.639374593,1.11001234742124e-08
HLA-DMB,0.768349157,1.14862776341649e-08
CD48,1.356029993,1.16068229508263e-08
IRF1,1.013959486,1.21752897819253e-08
CLEC9A,0.644484993,1.29428742774008e-08
HLA-DOA,0.914382071,1.42083489102284e-08
PRKCH,0.816612729,1.47825733397646e-08
CSF1R,0.8801958,1.57398508900652e-08
TLR8,0.958841936,1.64381398793895e-08
FCGR3A,1.188065521,1.70371293060682e-08
CXCL10,1.995518507,1.73745264670997e-08
HLA-DPA1,0.765679714,1.74101629753525e-08
HLA-DPA1,0.765679714,1.74101629753525e-08
HLA-DMB,0.770233671,1.74825535192479e-08
TNFRSF9,1.107934321,2.15058317250624e-08
APOL3,0.709874436,2.17233062649641e-08
LILRB1,0.959352764,2.54872744007076e-08
PSMB8,0.529968964,2.61547811249634e-08
PSMB8,0.529968964,2.61547811249634e-08
PSMB8,0.529968964,2.61547811249634e-08
TGFB1,0.555261736,2.8276624028542e-08
APOBEC3F,0.613695579,2.84241725349384e-08
FMNL1,0.641064079,2.86304240029422e-08
INPP5D,0.830497486,3.15534138266423e-08
MARCH1,0.8139565,3.45680763019782e-08
GBP7,0.445785693,3.76161787399231e-08
TMEM71,0.729540693,3.76964140550832e-08
AIM2,0.997217936,3.89349633102783e-08
LILRB2,1.006301093,3.91874220587461e-08
GNLY,0.921218714,4.0210739694477e-08
PECAM1,0.620466143,4.02159105374561e-08
