"","Gene.symbol","logFC","P.Value"
"7905754","ATP8B2",0.991709799999999,1.22621042293217e-08
"8006531","SLFN5",1.06155934545454,4.64100604109084e-08
"8154916","GALT",0.679114709090911,4.79436938903098e-08
"7899753","LCK",0.946087763636365,5.83030814720638e-08
"7953428","CD4",1.25569896363636,5.9388472400464e-08
"7973221","TRAJ17///TRAV12-2",1.21994354545455,8.65616830833408e-08
"7940409","CD5",1.35324070909091,8.65660633695993e-08
"7945377","SIGIRR",0.725002090909092,1.26949115480498e-07
"7987405","RASGRP1",1.35243287272728,1.28772019840177e-07
"7948054","",-0.574375545454546,1.42706214013503e-07
"8107307","CAMK4",1.29618583636364,1.5356082805395e-07
"8137257","GIMAP1-GIMAP5///GIMAP5",1.20005452727273,1.86836301101171e-07
"8062623","PLCG1",0.966157036363636,2.11098999043919e-07
"7931930","PRKCQ",1.08796201818182,3.36267009531686e-07
"7940391","CD6",1.06152952727273,3.40118006943025e-07
"8102950","INPP4B",1.2305128909091,3.41921777717512e-07
"8109507","ITK",1.54718178181819,3.65924264242085e-07
"7926105","GATA3",0.843192654545454,4.26601363458607e-07
"7904254","ATP1A1",0.793132345454548,4.32289749758278e-07
"8014768","PLXDC1",0.841115781818182,4.59540435491899e-07
"7944179","CD3E",1.41361585454545,4.85295437306371e-07
"8142104","ATXN7L1",0.668777090909094,5.6046594587381e-07
"8052803","AAK1",0.546956363636369,6.24013447893295e-07
"7984922","MPI",0.692131309090907,7.58433785086005e-07
"8126905","CRISP3",-2.25110449090909,1.03332448913547e-06
"7922040","CD247",1.16067834545455,1.15699793038985e-06
"8164343","FAM102A",1.05519189090909,1.17846519079807e-06
"7995755","OGFOD1",0.804702763636366,1.1957969377688e-06
"8099570","DCAF16",0.605326763636366,1.20033587634852e-06
"8174005","TRMT2B",0.592814781818181,1.20253271674547e-06
"7944152","IL10RA",0.73987472727273,1.26853230456536e-06
"8166184","CA5B",0.838405072727271,1.30436017483647e-06
"8108050","TCF7",1.22921207272727,1.30784088340321e-06
"8000869","SEPT1",0.825315145454544,1.32825273598729e-06
"7933772","ANK3",0.922211218181821,1.32930103934587e-06
"8047677","CD28",1.34461296363636,1.39127063804603e-06
"8161174","GNE",0.491303690909091,1.47364573637837e-06
"7956166","ESYT1",0.882482727272729,1.5056537182981e-06
"8136727","TRBC1",0.737211981818184,1.53051878160757e-06
"8131013","SUN1",0.659944454545452,1.54567327174466e-06
"8090448","RUVBL1///RUVBL1",0.768546272727273,1.59314321586394e-06
"8060675","CDC25B",0.905642090909095,1.60264034881339e-06
"7973298","MGC40069///TRAV8-3",0.97006432727273,1.65686531293101e-06
"8116635","BPHL",0.597283727272726,1.67358022514378e-06
"7912086","NOL9",0.864785818181817,1.82921920325558e-06
"8075263","NIPSNAP1",0.525651963636364,1.84044188083863e-06
"8018937","USP36",0.541292800000001,1.93058809332682e-06
"8103025","ZNF827",0.572355218181818,2.03342760383702e-06
"7981242","BCL11B",0.798042400000002,2.08743892515456e-06
"8173181","SPIN3",0.590470290909091,2.19017229956199e-06
"8104901","IL7R",1.42700974545455,2.26259188186685e-06
"7966760","FBXO21",0.522219018181821,2.40204100332487e-06
"7972946","RASA3",0.608786090909092,2.4565025586294e-06
"8020630","TTC39C",1.05431489090909,2.45929394760866e-06
"7899455","PHACTR4",0.717676109090911,2.49992069296963e-06
"7903334","CDC14A",0.714767163636367,2.50673310911086e-06
"7972003","KLF12",1.08588743636364,2.54931510907824e-06
"7931951","SFMBT2",0.72869730909091,2.56536662305964e-06
"8092095","TNIK",0.684653800000001,2.57760320798848e-06
"7963851","TESPA1",1.17118003636364,2.64803717004986e-06
"7974835","PRKCH",1.13517430909091,2.76407491389803e-06
"7980327","ANGEL1",0.49798709090909,2.8179939062051e-06
"8102232","LEF1",1.61502009090909,2.85070510209525e-06
"8168280","NONO",0.542504581818182,3.27589491232659e-06
"8123507","TBP",0.538751563636364,3.4218995646767e-06
"8005313","DRG2",0.577502709090911,3.47922411150901e-06
"7938128","DNHD1",0.729466418181821,3.50749413451181e-06
"8044499","SLC20A1",0.71233023636364,3.54226898508464e-06
"8085431","NUP210",0.778052436363639,3.6982989296129e-06
"7953200","CCND2",0.838176709090913,3.91176699632245e-06
"8129410","THEMIS",1.62210716363637,3.98611006602702e-06
"8143684","PDIA4",0.700692909090908,4.13135988950584e-06
"7944185","CD3G",1.61672541818182,4.17543619815935e-06
"7924582","WDR26",-0.732491090909088,4.23638898623594e-06
"7908178","SWT1",-1.02838649090909,4.26639104186348e-06
"7942476","PAAF1",0.353401345454545,4.67493902883113e-06
"8123609","SERPINB9",0.735428763636365,4.69820872784936e-06
"7953111","ITFG2",0.528581200000001,4.79676774412666e-06
"7898939","NIPAL3",0.674250981818181,4.83361360604077e-06
"8075430","MORC2",0.618523490909093,5.36623324474133e-06
"8018600","SRP68",0.653034890909093,5.39971071898911e-06
"8026272","IL27RA",0.670013618181818,5.42343656850369e-06
"7986428","LOC400464",0.55413732727273,5.43627644055624e-06
"8180259","",0.896010963636364,5.49149684610959e-06
"7981798","TUBGCP5",0.556790963636363,5.55545786793987e-06
"7977621","NDRG2",0.591191581818182,5.61595399910435e-06
"8081564","CD96",1.08344549090909,5.65158626811209e-06
"7972487","DOCK9",0.959303763636364,5.76905043826468e-06
"7940066","TMX2",0.479618036363636,5.89466571726466e-06
"7953333","CD27",1.19996998181818,5.9599207819195e-06
"7918255","CLCC1",0.74491421818182,5.97173932393342e-06
"7912385","EXOSC10",0.65298043636364,6.16994066082914e-06
"8010161","SEPT9",0.525992872727272,6.59673507109143e-06
"7931226","ZRANB1",-0.677406272727273,6.61673739977229e-06
"7956930","DYRK2",0.416434363636368,6.8691783420272e-06
"8062349","RPN2",0.606783018181822,7.10135377415642e-06
"8035737","ATP13A1",0.38886790909091,7.3767070699636e-06
"7979611","ZBTB25",0.761797163636364,7.58840586222893e-06
"8160682","NOL6",0.504689163636364,7.79005647836402e-06
"7962455","NELL2",1.60958863636364,7.94836469075462e-06
"8145027","FAM160B2",0.492395781818181,7.95542146254671e-06
"8012197","TMEM256-PLSCR3///PLSCR3",0.763946127272728,7.99181232478728e-06
"8014257","SLFN12L",1.10012805454546,8.0895963654061e-06
"8052798","AAK1",0.571355127272728,8.11594548663301e-06
"8064485","SIRPG",0.853781381818187,8.32665396628363e-06
"8047702","ICOS",1.46923467272727,8.44364228354617e-06
"7898957","RCAN3",1.08647989090909,8.60498938592258e-06
"8043725","ZAP70",0.90092190909091,8.64805690418522e-06
"8162676","TSTD2",0.571335654545456,8.75079629097402e-06
"7902227","GADD45A",-0.853750436363637,8.75779235999256e-06
"7946933","SERGEF",0.433664490909092,9.32671573202065e-06
"7956908","",0.62567243636364,9.7488005495733e-06
"7966938","GCN1",0.552628654545452,9.78130124744023e-06
"7955231","KCNH3",-0.624033636363636,9.79373290644878e-06
"8009533","COG1",0.4310826,1.00232314242746e-05
"8076449","RRP7BP",0.508881890909093,1.0296422012116e-05
"8020647","TTC39C",0.46767990909091,1.06053074175712e-05
"7921425","",-0.756243727272728,1.07130024584294e-05
"7948476","PRPF19",0.592534072727275,1.08239792188709e-05
"8060484","SNORD56///NOP56",0.46999570909091,1.09434585388516e-05
"8054004","SEMA4C",0.628555200000004,1.09452506023169e-05
"8114536","TMEM173",0.729763254545457,1.09454184496624e-05
"8143441","KIAA1147",0.868211,1.13693617006028e-05
"7996947","CYB5B",0.696628018181821,1.13856521374723e-05
"8080001","HEMK1",0.548826945454547,1.15150183049793e-05
"8115234","ANXA6",0.742969999999998,1.16477708848586e-05
"8011275","METTL16",0.724303218181816,1.16688909582754e-05
"7910752","MTR",0.585573163636365,1.17386391839497e-05
"8145586","ELP3",0.714029218181821,1.21394702899816e-05
"8041617","MTA3",0.578100781818183,1.2650062632011e-05
"8061428","ENTPD6",0.350122254545455,1.2726258382492e-05
"7992828","IL32",0.929812363636367,1.28046721310873e-05
"8059854","ARL4C",0.902841727272728,1.28124310944313e-05
"7995655","FTO",0.675674363636364,1.29250547722128e-05
"7906021","MSTO2P///MSTO1",0.513903072727272,1.29855559908306e-05
"8180390","",0.453938381818185,1.36372924569554e-05
"8001552","CIAPIN1",0.510675490909091,1.37233301103469e-05
"8018652","RNF157",0.808932890909091,1.37911906323555e-05
"8051075","GTF3C2",0.451749963636365,1.44948705689811e-05
"8112865","SERINC5",0.647318000000002,1.45037261377882e-05
"8075182","XBP1",0.876900472727275,1.45131849951245e-05
"7900576","PPIH",0.587623163636365,1.46584790741507e-05
"7986049","CRTC3",0.552027709090909,1.50777100892816e-05
"7932227","NMT2",0.738145636363637,1.51231520574564e-05
"8158446","NUP188",0.703095800000002,1.51541435827625e-05
"8031102","PRPF31",0.376095181818183,1.61294569469803e-05
"7930008","NOLC1",0.768908690909092,1.63346231904449e-05
"8112668","GCNT4",1.23574383636363,1.6423683437937e-05
"8163063","CTNNAL1",-1.24958463636364,1.68887828750198e-05
"7981032","DDX24",0.607798509090914,1.6935544004008e-05
"8001658","CFAP20",0.552076181818181,1.69420540200279e-05
"8171248","ANOS1",-0.406834218181817,1.72776639983746e-05
"8054945","BIN1",0.514440745454547,1.75974448319179e-05
"8076547","TTLL1",0.42679629090909,1.77338940463944e-05
"7921344","ELL2",-0.728274054545457,1.77357005197235e-05
"7980828","CCDC88C",0.864214581818185,1.78425937875917e-05
"8048120","ATIC",0.837205618181821,1.80762479005677e-05
"8097670","MMAA",0.775141727272726,1.82194030500825e-05
"7920725","SCAMP3",0.436195490909091,1.85873130417801e-05
"8120215","PAQR8",0.43499970909091,1.8616445227701e-05
"8145201","CCAR2",0.458938327272728,1.88134714755746e-05
"8174761","NKAPP1",0.411663327272729,1.90637454621036e-05
"7948696","MTA2",0.538102363636364,1.91403082870918e-05
"8128956","FYN",0.849725090909091,2.01771170030779e-05
"8145770","",0.701016981818182,2.03262373573246e-05
"8032576","AES",0.703043436363638,2.07669321517689e-05
"8173269","LAS1L",0.459753909090911,2.07845460049997e-05
"7939265","NAT10",0.69909130909091,2.11526544034571e-05
"8150014","INTS9",0.604744072727274,2.12493736967263e-05
"8180100","HLA-DPA1",0.910250363636365,2.13850668920732e-05
"8040985","ZNF512",0.725210454545458,2.16705068182375e-05
"8139131","AMPH",-0.836561418181817,2.16824519060156e-05
"8169263","VSIG1",1.13981449090909,2.18655011830601e-05
"7986789","ATP10A",0.566222818181818,2.24551948907543e-05
"8125556","HLA-DPA1",0.994121454545454,2.25304196393739e-05
"8178891","HLA-DPA1",0.994121454545454,2.25304196393739e-05
"7976726","EVL",0.689022527272732,2.29668075248796e-05
"8042874","TTC31",0.454667381818182,2.32561038591583e-05
"7963713","ATP5G2",0.429167981818178,2.35314992557811e-05
"8040340","LPIN1",0.682340363636362,2.38177714763257e-05
"7990830","MESDC2",0.449298272727275,2.39785893209125e-05
"8010512","RPTOR",0.612477309090912,2.40595591918709e-05
"7991216","DET1",0.492227109090911,2.41678143454958e-05
"7948744","GANAB",0.576549854545455,2.43218690217219e-05
"8140196","STAG3L5P-PVRIG2P-PILRB///STAG3L2///STAG3L3///STAG3L1///STAG3",0.626872763636365,2.4454152021489e-05
"7948667","AHNAK",0.781882654545454,2.56164020768652e-05
"8080162","ABHD14A",0.552408309090909,2.63388959081222e-05
"7977955","PPP1R3E///HOMEZ",0.389584854545455,2.6482261634158e-05
"7925364","HEATR1",0.77942489090909,2.65006270465128e-05
"8079563","DHX30",0.577754254545454,2.66965310937558e-05
"8053834","ANKRD36///ANKRD36B",0.891194381818183,2.67180956790623e-05
"8179519","HLA-DPB1",0.752987272727273,2.71964820773132e-05
"7944991","STT3A",0.605134199999998,2.75861181395007e-05
"7948379","OSBP",0.368791890909094,2.76226987218562e-05
"7963670","MAP3K12",0.452738381818182,2.76790585337032e-05
"8123062","TMEM181",0.661433945454544,2.78031218753611e-05
"7996685","EDC4",0.445054272727276,2.81663041451528e-05
"8132055","MTURN",-0.700898218181814,2.8194724041051e-05
"8119858","POLH",0.603114963636365,2.83219567574731e-05
"7920114","THEM4",0.686514400000002,2.84211448248523e-05
"8139392","DDX56",0.501103472727277,2.84431301194276e-05
"8055060","WDR33",0.477028799999999,2.84576431205063e-05
"8115076","CSF1R",0.750017309090913,2.86684795290678e-05
"8105267","ITGA2",-0.509722127272726,2.8894362733626e-05
"8106660","RASGRF2",0.897482600000002,2.90931544236188e-05
"7955110","DKFZP779L1853",0.940776745454547,2.94328663624815e-05
"7967473","EIF2B1",0.633267618181819,2.9552061874642e-05
"8104378","PAPD7",0.451471199999999,2.9618480646652e-05
"7913256","DDOST",0.493296999999998,2.98840715120976e-05
"8009227","PSMC5",0.502519654545456,3.03382461358848e-05
"7955450","LETMD1",0.448071709090911,3.04694959172886e-05
"8008664","AKAP1",0.587084636363636,3.09639894423333e-05
"8136401","NUP205",0.629138618181821,3.12719568718283e-05
"7963869","PHC1",0.518236072727274,3.13952556137218e-05
"8102050","SLC9B2",0.572910054545455,3.14215639719446e-05
"8072242","NF2",0.438319272727274,3.16942172536627e-05
"7901091","TOE1",0.437233072727272,3.19470402987812e-05
"7977373","MTA1",0.488086945454548,3.22210452107285e-05
"8080100","RAD54L2",0.486202290909091,3.24785634613993e-05
"8007799","MGC57346",0.80422989090909,3.29617641090074e-05
"8163023","IKBKAP",0.619780181818184,3.37480765460288e-05
"7997982","CDK10",0.402598309090909,3.38069211223705e-05
"7918487","DENND2D",0.778540963636363,3.39051593859607e-05
