"","ID","Gene.symbol"
"8013660",8013660,"ALDOC"
"8124510",8124510,"HIST1H2BL"
"8130539",8130539,"TAGAP"
"7960730",7960730,"LPCAT3"
"7960340",7960340,"FOXM1"
"7962201",7962201,""
"8158298",8158298,"GLE1"
"8030049",8030049,"CYTH2"
"7928549",7928549,""
"8025895",8025895,"PRKCSH"
"8124440",8124440,"HIST1H3G"
"8112865",8112865,"SERINC5"
"8065612",8065612,"NOL4L"
"8175642",8175642,"CXorf40B"
"7933535",7933535,""
"7947917",7947917,"KBTBD4"
"8058415",8058415,"INO80D"
"8007212",8007212,"STAT5A"
"8175638",8175638,"LOC642980"
"8111668",8111668,""
"8124388",8124388,"HIST1H3B"
"7962831",7962831,"CCNT1"
"8157843",8157843,"RABEPK"
"7897339",7897339,"CAMTA1"
"8062041",8062041,"ACSS2"
"8005857",8005857,"TMEM199///TMEM199"
"7912750",7912750,"FBXO42"
"7904907",7904907,"BCL9"
"8050875",8050875,"ASXL2///ASXL2"
"7958466",7958466,"ACACB"
"8142536",8142536,""
"8024038",8024038,"AZU1"
"8150689",8150689,""
"8008087",8008087,"NFE2L1"
"8024358",8024358,"CSNK1G2"
"8097096",8097096,""
"8023995",8023995,"FSTL3"
"8180278",8180278,"PCDHA4"
"8011678",8011678,""
"8118682",8118682,"PHF1"
"7915516",7915516,"MED8"
"8092000",8092000,"TERC"
"8052119",8052119,""
"7927710",7927710,"CDK1"
"7965800",7965800,"SYCP3"
"7902439",7902439,""
"7998825",7998825,"PDPK1"
"8170400",8170400,"LOC642980"
"8063857",8063857,"MTG2"
"8072798",8072798,"CYTH4"
"8069519",8069519,""
"7971690",7971690,""
"8102592",8102592,""
"8086028",8086028,"GLB1"
"7919612",7919612,"HIST2H3D///HIST2H3A///HIST2H3C"
"8094026",8094026,""
"7952179",7952179,"H2AFX"
"8106660",8106660,"RASGRF2"
"8124437",8124437,"HIST1H3F"
"8039577",8039577,"ZSCAN5A"
"8166607",8166607,""
"8078033",8078033,"TMEM135///CCDC174"
"8042326",8042326,"CEP68"
"8165705",8165705,""
"8024204",8024204,"STK11"
"7918153",7918153,""
"7952022",7952022,"JAML"
"7948744",7948744,"GANAB"
"8139879",8139879,""
"8095703",8095703,""
"8128890",8128890,"GSTM2P1"
"8059576",8059576,""
"7961371",7961371,"DUSP16"
"7937106",7937106,"NKX6-2"
"8057045",8057045,"FKBP7"
"7943513",7943513,""
"8150489",8150489,""
"8052139",8052139,""
"7944867",7944867,""
"7910694",7910694,"EDARADD"
"8139356",8139356,"NUDCD3"
"8098240",8098240,""
"8009932",8009932,"SAP30BP"
"8001133",8001133,"SHCBP1"
"7906576",7906576,"NCSTN"
"8046685",8046685,"UBE2E4P///UBE2E3"
"7938366",7938366,"WEE1"
"8132580",8132580,"YKT6"
"8075263",8075263,"NIPSNAP1"
"7978166",7978166,"TM9SF1"
"7963174",7963174,"CERS5"
"8106096",8106096,""
"8106019",8106019,"PMCHL2///PMCHL1"
"8077458",8077458,"EDEM1"
"7983290",7983290,"SERF2-C15ORF63///SERF2"
"8000848",8000848,"CD2BP2"
"8017599",8017599,"PECAM1"
"8008213",8008213,"KAT7"
"7977868",7977868,"C14orf93"
"8011077",8011077,"PITPNA"
"7925033",7925033,"C1orf131"
"8031893",8031893,"ZNF8"
"7941769",7941769,"KDM2A"
"7982187",7982187,"APBA2"
"7984704",7984704,"NEO1"
"8005441",8005441,"SMCR8"
"8121743",8121743,""
"7947110",7947110,"E2F8"
"8061112",8061112,""
"8162388",8162388,"OMD"
"7999233",7999233,"GLYR1"
"7933931",7933931,""
"8082478",8082478,"COPG1"
"8164060",8164060,""
"8104901",8104901,"IL7R"
"8026361",8026361,""
"8062433",8062433,"RPRD1B"
"8107857",8107857,""
"8040465",8040465,""
"8172471",8172471,"PIM2"
"7975282",7975282,""
"7919589",7919589,"HIST2H3D///HIST2H3A///HIST2H3C"
"8149705",8149705,"MIR320A"
"8033257",8033257,"C3"
"7936406",7936406,""
"8174103",8174103,"GK3P///GK"
"7983969",7983969,"CCNB2"
"8002057",8002057,"ACD"
"7961820",7961820,"LINC00477"
"8180253",8180253,""
"7970735",7970735,""
"8012403",8012403,"AURKB"
"7915408",7915408,"FOXJ3"
"8130408",8130408,"IPCEF1///CNKSR3"
"7937378",7937378,"PTDSS2"
"8005223",8005223,""
"8166632",8166632,"GK3P///GK"
"8018906",8018906,""
"7931029",7931029,""
"7977803",7977803,"RBM23"
"7988093",7988093,"TP53BP1"
"8102783",8102783,""
"7991126",7991126,"WDR73"
"7957041",7957041,""
"8180346",8180346,"GPX1"
"8002592",8002592,"AP1G1"
"7966600",7966600,"SLC8B1"
"7989628",7989628,"CSNK1G1"
"8152463",8152463,""
"8097120",8097120,""
"8046018",8046018,""
"7995377",7995377,""
"8108566",8108566,""
"7994091",7994091,""
"7987840",7987840,"VPS39"
"8177554",8177554,"PMCHL2///PMCHL1"
"8097541",8097541,""
"7964021",7964021,"RNF41"
"8122174",8122174,""
"8149793",8149793,"ENTPD4"
"7956593",7956593,"OS9"
"7983650",7983650,"SLC27A2"
"8026698",8026698,"BABAM1///BABAM1"
"7956524",7956524,"PIP4K2C"
"8105436",8105436,"MAP3K1"
"8054870",8054870,""
"8116020",8116020,"LMAN2"
"8166948",8166948,""
"8124192",8124192,""
"8030860",8030860,"FPR2"
"7958439",7958439,"USP30"
"7998634",7998634,"HS3ST6"
"8151871",8151871,"CCNE2"
"7953428",7953428,"CD4"
"7921738",7921738,"USF1"
"8060738",8060738,""
"8150153",8150153,""
"8111253",8111253,""
"7899504",7899504,"GMEB1"
"7987572",7987572,""
"7996260",7996260,""
