"","cluster","cluster_col"
"HEY1","C1","#8DD3C7"
"DCC","C1","#8DD3C7"
"CCL18","C1","#8DD3C7"
"CCL13","C1","#8DD3C7"
"C1QB","C1","#8DD3C7"
"FN1","C1","#8DD3C7"
"HGF","C1","#8DD3C7"
"HPGD","C1","#8DD3C7"
"SORBS2","C1","#8DD3C7"
"KCNN3","C1","#8DD3C7"
"BHLHA15","C1","#8DD3C7"
"C1QC","C1","#8DD3C7"
"VAT1L","C1","#8DD3C7"
"MYO7A","C1","#8DD3C7"
"FBXO43","C1","#8DD3C7"
"MS4A4A","C1","#8DD3C7"
"NEIL3","C1","#8DD3C7"
"TIE1","C1","#8DD3C7"
"MND1","C1","#8DD3C7"
"LRRC37A8P","C1","#8DD3C7"
"MCM10","C1","#8DD3C7"
"CA12","C1","#8DD3C7"
"HIST1H3G","C1","#8DD3C7"
"ANLN","C1","#8DD3C7"
"E2F8","C1","#8DD3C7"
"DEPDC1","C1","#8DD3C7"
"RRM2","C1","#8DD3C7"
"UBE2C","C1","#8DD3C7"
"SPC25","C1","#8DD3C7"
"RDM1","C1","#8DD3C7"
"CENPA","C1","#8DD3C7"
"BIRC5","C1","#8DD3C7"
"KIF2C","C1","#8DD3C7"
"GTSE1","C1","#8DD3C7"
"TYMS","C1","#8DD3C7"
"CDK1","C1","#8DD3C7"
"AURKB","C1","#8DD3C7"
"SPC24","C1","#8DD3C7"
"CDC25C","C1","#8DD3C7"
"KIF4A","C1","#8DD3C7"
"MELK","C1","#8DD3C7"
"KIF18B","C1","#8DD3C7"
"PBK","C1","#8DD3C7"
"MKI67","C1","#8DD3C7"
"HJURP","C1","#8DD3C7"
"KIF20A","C1","#8DD3C7"
"DLGAP5","C1","#8DD3C7"
"ETV4","C1","#8DD3C7"
"ASPM","C1","#8DD3C7"
"C2orf48","C1","#8DD3C7"
"RIBC2","C1","#8DD3C7"
"SLC1A1","C1","#8DD3C7"
"SRCIN1","C1","#8DD3C7"
"LAMA4","C1","#8DD3C7"
"NCALD","C1","#8DD3C7"
"THBD","C1","#8DD3C7"
"CX3CR1","C1","#8DD3C7"
"MMP12","C1","#8DD3C7"
"RYR2","C1","#8DD3C7"
"TREM1","C1","#8DD3C7"
"PRL","C1","#8DD3C7"
"GNLY","C1","#8DD3C7"
"PTGIS","C1","#8DD3C7"
"IFNG","C1","#8DD3C7"
"PENK","C1","#8DD3C7"
"FLRT3","C1","#8DD3C7"
"GZMA","C1","#8DD3C7"
"CXCR6","C1","#8DD3C7"
"NCR1","C1","#8DD3C7"
"PTPRT","C1","#8DD3C7"
"EOMES","C1","#8DD3C7"
"CFI","C1","#8DD3C7"
"SH2D1B","C1","#8DD3C7"
"PTGDR","C1","#8DD3C7"
"CD209","C1","#8DD3C7"
"PTPRR","C1","#8DD3C7"
"CXCL13","C1","#8DD3C7"
"PPP2R2B","C1","#8DD3C7"
"PAK3","C1","#8DD3C7"
"MIR501","C1","#8DD3C7"
"GFI1","C1","#8DD3C7"
"LOC100129316","C1","#8DD3C7"
"DNAH7","C1","#8DD3C7"
"IL1R2","C1","#8DD3C7"
"STRIP2","C1","#8DD3C7"
"GZMB","C1","#8DD3C7"
"ENPP1","C1","#8DD3C7"
"KLRC4-KLRK1","C1","#8DD3C7"
"ALDH1A2","C1","#8DD3C7"
"FST","C1","#8DD3C7"
"SLC47A1","C1","#8DD3C7"
"RAB3C","C1","#8DD3C7"
"C18orf61","C1","#8DD3C7"
"CTSLP2","C1","#8DD3C7"
"LIX1","C1","#8DD3C7"
"NPPA","C1","#8DD3C7"
"TPRG1","C1","#8DD3C7"
"LRRC4","C1","#8DD3C7"
"CARD10","C1","#8DD3C7"
"LRP4","C1","#8DD3C7"
"F12","C1","#8DD3C7"
"GUCA1A","C1","#8DD3C7"
"LRP4-AS1","C1","#8DD3C7"
"XIRP1","C1","#8DD3C7"
"FFAR3","C1","#8DD3C7"
"SH3RF3","C1","#8DD3C7"
"CISH","C1","#8DD3C7"
"LILRA1","C1","#8DD3C7"
"BMP8A","C1","#8DD3C7"
"SLC8A1","C1","#8DD3C7"
"GZMH","C1","#8DD3C7"
"ALOX15","C1","#8DD3C7"
"CLEC10A","C1","#8DD3C7"
"ZBED2","C1","#8DD3C7"
"TLE6","C1","#8DD3C7"
"PALLD","C1","#8DD3C7"
"EEPD1","C1","#8DD3C7"
"LMO2","C1","#8DD3C7"
"RASL11A","C1","#8DD3C7"
"GLDC","C1","#8DD3C7"
"CCR2","C1","#8DD3C7"
"QSOX1","C1","#8DD3C7"
"FLJ23867","C1","#8DD3C7"
"CLEC4A","C1","#8DD3C7"
"GAS6","C1","#8DD3C7"
"SLC24A3","C1","#8DD3C7"
"GLUD1P7","C1","#8DD3C7"
"HSD11B1","C1","#8DD3C7"
"MRO","C1","#8DD3C7"
"NGEF","C1","#8DD3C7"
"KCNK12","C1","#8DD3C7"
"CRISPLD1","C1","#8DD3C7"
"SHOX2","C1","#8DD3C7"
"MIR532","C1","#8DD3C7"
"LINC01478","C1","#8DD3C7"
"FAM132B","C1","#8DD3C7"
"KLHL30","C1","#8DD3C7"
