"","s-42","s-43","s-44","s-82","s-83","s-84","s-52","s-53","s-54","s-92","s-93","s-94"
"CISH",-0.920407351754242,-0.915421487973042,-0.88874632013028,-0.925216368563644,-0.929185559033392,-0.91908312751235,0.939471045821779,0.765084332722039,0.323142296995855,1.37577781126721,1.43592513011941,0.658659598040655
"VDR",-0.533370134860083,-0.482396723884248,-0.447355312989716,-0.527936062352909,-0.505544346535147,-0.48278096920339,1.6035844213343,-0.252027107666074,-0.350970518374317,2.56589641967645,-0.271578505051603,-0.315521160093272
"IL4I1",-0.804281315621265,-0.719821806941882,-0.756503399324514,-0.782356321723246,-0.764322719186892,-0.780429078384913,1.58446927121137,0.413691884051751,0.0767936486602329,2.15069656743998,0.379827227709206,0.00223604211017464
"CCL17",-0.446321077120401,-0.435747721014808,-0.444267806459756,-0.443565919006369,-0.426585979511881,-0.437281465056513,2.58530952754781,-0.343944496442173,-0.430004727163051,1.59849675160802,-0.377285987185453,-0.398801100195424
"GZMB",-0.900945077638376,-0.890104493938823,-0.897440125168509,-0.900578603794041,-0.899622538980815,-0.895608142616794,1.32627859792762,1.25895006524706,0.716342886426378,1.02650833538225,1.1195064665033,-0.0632873693492577
"ARHGEF17",-0.449928834679426,-0.426494646177431,-0.400052582121207,-0.446886748868654,-0.438340582235128,-0.431630306426895,1.60269365493646,-0.410019631347017,-0.414089354860544,2.58335130254246,-0.393724965240381,-0.374877305522242
"ZBED2",-1.02114221950719,-0.490472640070979,-0.722580323457695,-1.04059245235214,-0.799480264217727,-0.78142485625438,0.198506281523615,1.70974557741164,0.332344054558096,0.177818392413244,1.8459696508402,0.591308799113322
"ARNTL2",-0.650216493772747,-0.574451485511882,-0.567388812722612,-0.596940158574336,-0.554476559145681,-0.604520848434444,2.31195180238546,-0.0601502612574046,-0.212578837233968,1.85504223550612,-0.150725831522911,-0.195544749715595
"FOSL2",-0.499291157131663,-0.518494318307809,-0.51781347238529,-0.451743395738062,-0.532802663132282,-0.527809138976209,1.46821164223744,-0.210923236017181,-0.309109878923757,2.64411745354347,-0.194666564622848,-0.349675270545806
"ADTRP",-1.35172727904517,-0.924619380552093,-0.498144998261654,-1.3218261373568,-0.192673648569889,1.23624551295572,1.55116078603648,0.920252784745311,-0.248471937831325,1.005095167373,0.368879739008486,-0.544170608502067
"IL2RB",-0.993819424933339,-0.369477417057301,-0.630673662394694,-0.922288407696454,-0.510838866307795,-0.36538628438086,2.37295882469928,0.0989105463428,0.110782276275563,1.58264953992494,-0.132951727552998,-0.239865396919143
"CSF2",-0.443979974395469,-0.430727484720105,-0.421944043523526,-0.417099369219917,-0.435357102963276,-0.433767960723971,2.67471284581119,-0.364634317834297,-0.362014107916461,1.45917714631442,-0.395330410093488,-0.429035220735102
"ENPP1",-0.91953453999181,-0.900893576262172,-0.896804316060834,-0.903906289653078,-0.897298152552498,-0.911873618665775,1.1022176783011,0.827745551934528,1.36536825854192,1.37757139032067,0.63954081393645,0.117866800151498
"NFIL3",-0.85762384957775,-0.836584549845017,-0.844004606374543,-0.826942278245185,-0.833178966017573,-0.830994984322403,1.08761813778622,0.449793823192825,0.358210206836728,2.15858066193061,0.747603571497649,0.22752283313844
"GZMH",-0.876292076777564,-0.863110864817548,-0.876292076777564,-0.876292076777564,-0.85056259526067,-0.860492160597792,0.963500327268989,1.67834196937808,0.759149193733256,0.0851916591337899,1.44363917305622,0.273219528438376
"GLDC",-0.959841662898081,-0.861216316220072,-0.905177687175892,-0.937483568276477,-0.843766533155916,-0.877882980251244,0.342922184712966,1.40984632304986,0.832621308254616,0.980178999649109,1.51861195580462,0.301187976506502
"NKG7",-0.88678371623876,-0.87520405330558,-0.861111191486393,-0.88678371623876,-0.871714857911474,-0.848117477464963,0.277430324495671,0.927352960082341,2.03659535487339,0.815736402768442,0.547883504515314,0.624716465910769
"CACNA1D",-1.60230740082816,-0.802910545582413,0.121758258671376,-1.58465894749999,-0.395733530608544,1.77797609483969,0.921114764796195,0.264407423890928,-0.0367898664797298,0.956227902602559,0.327452707416183,0.0534631387819088
"CHDH",-1.52884977972073,0.544857756979256,0.446407719128773,-1.48694500452096,0.27243003530158,1.92573292683921,0.93058182207206,0.295632508661645,-0.773795490518325,0.293658596576768,-0.22375444164894,-0.695956649150329
"XIRP1",-0.788125470362428,-0.661555005401455,-0.753049067303682,-0.758173821713864,-0.702339636184083,-0.763742517606913,1.07056614279237,2.26414883387708,-0.18321071832061,0.539045358629253,1.02202311510579,-0.285587213511471
"ZBTB8A",-0.743065048429638,-0.7206344041218,-0.732014040304878,-0.739020865482435,-0.717929673160885,-0.712977295413005,-0.514519453988988,0.884254034548644,1.79335214596925,-0.391970299169279,1.43976951445178,1.15475538510123
"GFI1",-1.28828054321004,-0.702873833299068,-0.694811213583492,-1.23956644817575,-0.848779369750481,-0.566008494959282,1.45360317845071,0.71217765343467,1.35621331307645,0.744152065365189,0.22398833051403,0.850185362137063
"ZNRF1",-0.872561413436177,-0.800830744015728,-0.687027059258704,-0.838612706548357,-0.843391218094152,-0.835712258058272,0.309587510564585,0.372099781085976,0.794486909141375,2.36491560597463,0.608622174464148,0.428423418180678
"ALOX15",-0.843322613553351,-0.837316038021035,-0.843322613553351,-0.823829173235766,-0.819873165261743,-0.815551575978911,0.669741434565905,2.15756723112228,0.933137911310694,0.109633284833734,0.913326696646951,0.199808621124593
"ENPP3",-0.952975284633637,-0.882539452735993,-0.887224233864522,-0.916882295386077,-0.899909185452034,-0.922504566910315,0.791822772227999,0.931179511094136,1.53164014160646,0.54781368463333,1.33331204566954,0.32626686375111
"CXCL8",0.651885707770847,0.030238034040544,2.93959391309648,0.125108580743963,-0.351719119943364,-0.130404091792999,-0.554436862837402,-0.546361704819977,-0.540786609060897,-0.53783504187784,-0.544534545905548,-0.540748259413807
"HLX",-0.614275243198244,-0.545623784158597,-0.564707045198463,-0.519069829808231,-0.593517318240539,-0.575504548258787,1.39728772373696,-0.0994172494773587,-0.22693075300831,2.64395192197116,-0.110921628117627,-0.19127224624196
"GNA15",-0.629086285474444,-0.564302129933556,-0.57288372017212,-0.578809765906567,-0.594264662954176,-0.605934547279182,0.621928785458866,-0.134402053891737,-0.103284659993599,2.90739625162909,0.0981635761464188,0.155479212371009
"DNAH7",-0.887578256003432,-0.837336053585151,-0.805247440425497,-0.830863982932384,-0.826461017267522,-0.813514211847915,2.03751000658335,0.301135560847542,1.3674728270944,0.612218536984535,0.10945556504791,0.573208465504162
"WNT11",-0.551017181862017,-0.41825087114227,-0.443981678233365,-0.551017181862017,-0.464631389010492,-0.538616434728352,2.1693084403596,-0.278020547179838,-0.225271014884625,2.0901935633578,-0.373787411766154,-0.414908293048275
"GJB2",-0.690176188847189,-0.607836759518979,-0.446776929332505,-0.690176188847189,-0.690176188847189,-0.577378749962437,2.03895636519797,-0.43455443644182,-0.350666515037493,1.71227427969676,-0.337532494231773,1.07404380617184
"CCR2",-0.790073327033919,-0.752247509791346,-0.786718879723865,-0.745880440340102,-0.773337326970132,-0.763646204266822,0.246346048043679,0.832470822676571,-0.262621409795464,0.993715534160571,2.32774369847598,0.474248994564852
"B3GNT5",-0.813885925800325,-0.809483095197251,-0.79436346158178,-0.792452835898838,-0.807583480377036,-0.805743437725112,-0.321610664403509,1.23405096962726,1.34084841586693,-0.0214288703936665,1.70749263339809,0.884159752485239
