"ancestor","term_id","term_name","p_value","term_size","group_name","-log10(padj)","group_color","ancestor_name"
"GO:0002682","GO:0002682","regulation of immune system process",0.039787719063096,1512,"C4",0.00492429337245964,"#B2DF8A","regulation of immune system process"
"GO:0002682","GO:0002685","regulation of leukocyte migration",0.009020615823651,230,"C4",0.125685720449602,"#B2DF8A","regulation of immune system process"
"GO:0006955","GO:0006955","immune response",0.000405648908280388,1988,"C1",1.17966208409381,"#A6CEE3","immune response"
"GO:0006955","GO:0045087","innate immune response",0.00662192165651495,965,"C1",0.201292356371895,"#A6CEE3","immune response"
"GO:0050900","GO:0030595","leukocyte chemotaxis",5.24690860600778e-05,237,"C4",2.03212323419156,"#1F78B4","leukocyte migration"
"GO:0050900","GO:0050900","leukocyte migration",0.000383509069409297,396,"C4",1.20138051313839,"#1F78B4","leukocyte migration"
"GO:0050900","GO:0071621","granulocyte chemotaxis",0.00399128863615464,129,"C4",0.361460366468643,"#1F78B4","leukocyte migration"
"GO:0050900","GO:0071674","mononuclear cell migration",0.00421633874020594,205,"C4",0.345680727536163,"#1F78B4","leukocyte migration"
"GO:0050900","GO:0097529","myeloid leukocyte migration",0.000813671334304091,237,"C4",0.928182981723752,"#1F78B4","leukocyte migration"
"GO:0050900","GO:0097530","granulocyte migration",0.0119949922349998,156,"C4",0.0636675324068441,"#1F78B4","leukocyte migration"
