,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,1.967383758867e-07,2799,61,29,0.475409836065574,0.0103608431582708,GO:0007166,GO:BP,cell surface receptor signaling pathway,21031,2761,GO:0007165
2,query_1,TRUE,1.08389210896259e-06,1663,61,22,0.360655737704918,0.0132291040288635,GO:1901700,GO:BP,response to oxygen-containing compound,21031,22187,GO:0042221
3,query_1,TRUE,3.93708119999427e-05,6447,61,40,0.655737704918033,0.00620443617186288,GO:0023052,GO:BP,signaling,21031,6877,GO:0050789
4,query_1,TRUE,4.72134813305e-05,2637,61,25,0.40983606557377,0.00948047023132347,GO:0010033,GO:BP,response to organic substance,21031,3883,GO:0042221
5,query_1,TRUE,5.24690860600778e-05,237,61,9,0.147540983606557,0.0379746835443038,GO:0030595,GO:BP,leukocyte chemotaxis,21031,7098,GO:0050900/GO:0060326
6,query_1,TRUE,6.06305294440492e-05,6537,61,40,0.655737704918033,0.00611901483861098,GO:0007154,GO:BP,cell communication,21031,2749,GO:0009987
7,query_1,TRUE,0.000275762792356317,5959,61,37,0.60655737704918,0.00620909548581977,GO:0007165,GO:BP,signal transduction,21031,2760,GO:0007154/GO:0009987/GO:0023052/GO:0050794/GO:0051716
8,query_1,TRUE,0.000297528395545695,609,61,12,0.19672131147541,0.0197044334975369,GO:0071396,GO:BP,cellular response to lipid,21031,17148,GO:0033993/GO:0071310
9,query_1,TRUE,0.00031848613169618,1179,61,16,0.262295081967213,0.0135708227311281,GO:1901701,GO:BP,cellular response to oxygen-containing compound,21031,22188,GO:0070887/GO:1901700
10,query_1,TRUE,0.000333515379620117,1183,61,16,0.262295081967213,0.0135249366018597,GO:0048646,GO:BP,anatomical structure formation involved in morphogenesis,21031,13329,GO:0009653/GO:0032502
11,query_1,TRUE,0.000383509069409297,396,61,10,0.163934426229508,0.0252525252525253,GO:0050900,GO:BP,leukocyte migration,21031,13777,GO:0002376/GO:0016477
12,query_1,TRUE,0.00057591147424002,3939,61,29,0.475409836065574,0.00736227468900736,GO:0048583,GO:BP,regulation of response to stimulus,21031,13279,GO:0050789/GO:0050896
13,query_1,TRUE,0.000676451328553182,320,61,9,0.147540983606557,0.028125,GO:0060326,GO:BP,cell chemotaxis,21031,15004,GO:0006935/GO:0016477/GO:0070887
14,query_1,TRUE,0.000712365266325401,1971,61,20,0.327868852459016,0.0101471334348047,GO:0071310,GO:BP,cellular response to organic substance,21031,17066,GO:0010033/GO:0070887
15,query_1,TRUE,0.000813671334304091,237,61,8,0.131147540983607,0.0337552742616034,GO:0097529,GO:BP,myeloid leukocyte migration,21031,19231,GO:0050900
16,query_1,TRUE,0.00121899316511034,250,61,8,0.131147540983607,0.032,GO:0071216,GO:BP,cellular response to biotic stimulus,21031,16976,GO:0009607/GO:0051716
17,query_1,TRUE,0.001603229630496,463,61,10,0.163934426229508,0.0215982721382289,GO:0006935,GO:BP,chemotaxis,21031,2604,GO:0042221/GO:0042330
18,query_1,TRUE,0.00166709759689781,465,61,10,0.163934426229508,0.021505376344086,GO:0042330,GO:BP,taxis,21031,10442,GO:0009605/GO:0040011
19,query_1,TRUE,0.00182587087689612,2723,61,23,0.377049180327869,0.00844656628718325,GO:0009605,GO:BP,response to external stimulus,21031,3570,GO:0050896
20,query_1,TRUE,0.00205280345536633,7669,61,41,0.672131147540984,0.00534619898291824,GO:0032501,GO:BP,multicellular organismal process,21031,7883,GO:0008150
21,query_1,TRUE,0.00275446204893777,616,61,11,0.180327868852459,0.0178571428571429,GO:0007169,GO:BP,transmembrane receptor protein tyrosine kinase signaling pathway,21031,2764,GO:0007167
22,query_1,TRUE,0.00317118114458724,625,61,11,0.180327868852459,0.0176,GO:0048514,GO:BP,blood vessel morphogenesis,21031,13224,GO:0001568/GO:0035239
23,query_1,TRUE,0.0032351893507149,197,61,7,0.114754098360656,0.0355329949238579,GO:0097553,GO:BP,calcium ion transmembrane import into cytosol,21031,19242,GO:0070588
24,query_1,TRUE,0.00368418569717154,920,61,13,0.213114754098361,0.0141304347826087,GO:0033993,GO:BP,response to lipid,21031,8654,GO:0010033
25,query_1,TRUE,0.00399128863615464,129,61,6,0.0983606557377049,0.0465116279069767,GO:0071621,GO:BP,granulocyte chemotaxis,21031,17303,GO:0030595/GO:0097530
26,query_1,TRUE,0.00421633874020594,205,61,7,0.114754098360656,0.0341463414634146,GO:0071674,GO:BP,mononuclear cell migration,21031,17349,GO:0050900
27,query_1,TRUE,0.00464326142679991,208,61,7,0.114754098360656,0.0336538461538462,GO:0033002,GO:BP,muscle cell proliferation,21031,8251,GO:0008283
28,query_1,TRUE,0.00560612892412106,214,61,7,0.114754098360656,0.0327102803738318,GO:0071222,GO:BP,cellular response to lipopolysaccharide,21031,16982,GO:0032496/GO:0071219/GO:0071396/GO:1901701
29,query_1,TRUE,0.00616111386232032,139,61,6,0.0983606557377049,0.0431654676258993,GO:0048660,GO:BP,regulation of smooth muscle cell proliferation,21031,13343,GO:0042127/GO:0048659
30,query_1,TRUE,0.00616911201208892,538,61,10,0.163934426229508,0.0185873605947955,GO:0001525,GO:BP,angiogenesis,21031,335,GO:0048514/GO:0048646
31,query_1,TRUE,0.00726167635260985,143,61,6,0.0983606557377049,0.041958041958042,GO:0048659,GO:BP,smooth muscle cell proliferation,21031,13342,GO:0033002
32,query_1,TRUE,0.0075798944058917,224,61,7,0.114754098360656,0.03125,GO:0071219,GO:BP,cellular response to molecule of bacterial origin,21031,16979,GO:0002237/GO:0071216
33,query_1,TRUE,0.00764180133768597,829,61,12,0.19672131147541,0.014475271411339,GO:0006954,GO:BP,inflammatory response,21031,2616,GO:0006952
34,query_1,TRUE,0.00804312829114113,3437,61,25,0.40983606557377,0.0072737852778586,GO:0023051,GO:BP,regulation of signaling,21031,6876,GO:0023052/GO:0050789
35,query_1,TRUE,0.00830629950206713,3443,61,25,0.40983606557377,0.00726110949753122,GO:0010646,GO:BP,regulation of cell communication,21031,4342,GO:0007154/GO:0050794
36,query_1,TRUE,0.00851374374069374,6453,61,36,0.59016393442623,0.00557880055788006,GO:0032502,GO:BP,developmental process,21031,7884,GO:0008150
37,query_1,TRUE,0.00864870841955772,7394,61,39,0.639344262295082,0.0052745469299432,GO:0051716,GO:BP,cellular response to stimulus,21031,14364,GO:0009987/GO:0050896
38,query_1,TRUE,0.009020615823651,230,61,7,0.114754098360656,0.0304347826086957,GO:0002685,GO:BP,regulation of leukocyte migration,21031,1210,GO:0002682/GO:0030334/GO:0050900
39,query_1,TRUE,0.00905814534038279,3957,61,27,0.442622950819672,0.00682335102350265,GO:0042221,GO:BP,response to chemical,21031,10394,GO:0050896
40,query_1,TRUE,0.0105934771506143,1013,61,13,0.213114754098361,0.0128331688055281,GO:0034220,GO:BP,monoatomic ion transmembrane transport,21031,8793,GO:0006811/GO:0055085
41,query_1,TRUE,0.0110095905784329,336,61,8,0.131147540983607,0.0238095238095238,GO:0032496,GO:BP,response to lipopolysaccharide,21031,7879,GO:0002237/GO:0033993/GO:1901700
42,query_1,TRUE,0.011433795207551,451,61,9,0.147540983606557,0.0199556541019956,GO:0043269,GO:BP,regulation of monoatomic ion transport,21031,10946,GO:0006811/GO:0051049
43,query_1,TRUE,0.0119949922349998,156,61,6,0.0983606557377049,0.0384615384615385,GO:0097530,GO:BP,granulocyte migration,21031,19232,GO:0097529
44,query_1,TRUE,0.0124836378236605,721,61,11,0.180327868852459,0.0152565880721221,GO:0001568,GO:BP,blood vessel development,21031,358,GO:0001944/GO:0048856
45,query_1,TRUE,0.0125838630781115,6250,61,35,0.573770491803279,0.0056,GO:0048518,GO:BP,positive regulation of biological process,21031,13226,GO:0008150/GO:0050789
46,query_1,TRUE,0.0126352499053109,90,61,5,0.0819672131147541,0.0555555555555556,GO:0070098,GO:BP,chemokine-mediated signaling pathway,21031,16404,GO:0007186/GO:0019221/GO:1990869
47,query_1,TRUE,0.016119054997824,354,61,8,0.131147540983607,0.0225988700564972,GO:0002237,GO:BP,response to molecule of bacterial origin,21031,777,GO:0009617/GO:0010033/GO:0043207
48,query_1,TRUE,0.0168915547060354,1594,61,16,0.262295081967213,0.0100376411543287,GO:0051049,GO:BP,regulation of transport,21031,13898,GO:0006810/GO:0032879
49,query_1,TRUE,0.017459431739449,45,61,4,0.0655737704918033,0.0888888888888889,GO:0030574,GO:BP,collagen catabolic process,21031,7083,GO:0009056/GO:0032963
50,query_1,TRUE,0.0178244295207116,1234,61,14,0.229508196721311,0.0113452188006483,GO:0040011,GO:BP,locomotion,21031,10240,GO:0008150
51,query_1,TRUE,0.0184515980047143,4366,61,28,0.459016393442623,0.00641319285387082,GO:0030154,GO:BP,cell differentiation,21031,6924,GO:0048869
52,query_1,TRUE,0.0185360204947074,4367,61,28,0.459016393442623,0.00641172429585528,GO:0048869,GO:BP,cellular developmental process,21031,13537,GO:0009987/GO:0032502
53,query_1,TRUE,0.0185725028176794,752,61,11,0.180327868852459,0.0146276595744681,GO:0001944,GO:BP,vasculature development,21031,560,GO:0048731/GO:0072359
54,query_1,TRUE,0.0201564004549772,99,61,5,0.0819672131147541,0.0505050505050505,GO:1990868,GO:BP,response to chemokine,21031,25988,GO:0034097
55,query_1,TRUE,0.0201564004549772,99,61,5,0.0819672131147541,0.0505050505050505,GO:1990869,GO:BP,cellular response to chemokine,21031,25989,GO:0071345/GO:1990868
56,query_1,TRUE,0.0202806266203739,616,61,10,0.163934426229508,0.0162337662337662,GO:0050801,GO:BP,monoatomic ion homeostasis,21031,13696,GO:0048878
57,query_1,TRUE,0.0205092827644789,1077,61,13,0.213114754098361,0.0120705663881151,GO:0032101,GO:BP,regulation of response to external stimulus,21031,7632,GO:0009605/GO:0048583
58,query_1,TRUE,0.0217878223519875,1256,61,14,0.229508196721311,0.0111464968152866,GO:0006811,GO:BP,monoatomic ion transport,21031,2520,GO:0006810
59,query_1,TRUE,0.0222235819389459,101,61,5,0.0819672131147541,0.0495049504950495,GO:0032963,GO:BP,collagen metabolic process,21031,8227,GO:0008152
60,query_1,TRUE,0.0224798511956628,2683,61,21,0.344262295081967,0.00782705926202013,GO:0070887,GO:BP,cellular response to chemical stimulus,21031,16854,GO:0042221/GO:0051716
61,query_1,TRUE,0.0235462493245748,1091,61,13,0.213114754098361,0.0119156736938588,GO:0035295,GO:BP,tube development,21031,9257,GO:0007275/GO:0048856
62,query_1,TRUE,0.026696152621705,50,61,4,0.0655737704918033,0.08,GO:0007215,GO:BP,glutamate receptor signaling pathway,21031,2802,GO:0007166
63,query_1,TRUE,0.0275279870026666,2274,61,19,0.311475409836066,0.00835532102022867,GO:0048584,GO:BP,positive regulation of response to stimulus,21031,13280,GO:0048518/GO:0048583/GO:0050896
